,fold,margin/alpha,knowledge,learning_rate,batch_size,epochs,runtime,weights,violations_train_data,total_mse_train,constraint_penalty_train,custom_metric_train_2,violations_train_prediction,violations_val_data,total_mse_val,constraint_penalty_val,custom_metric_val_2,violations_val_prediction,violations_test_data,total_mse_test,constraint_penalty_test,custom_metric_test_2,violations_test_prediction,counter_examples_found
0,1,0,"[-0.008243927321455928, 0.0056115494666502804, 0]",-,-,-,119.19347715377808,"[[3.438922463182384, 12.752806256515782, -6.226527464177812, 3.4680319832091415, 12.898978363721854, 3.978456656592243, -0.5782616126129694, -0.3152397560686893, 20.94885179780325, 3.6501642001862056, 0.647312099678009, -1.5479885159217412, -0.5685098611749257, 37.75400349610752], [0.6139391731857649, 0.16559021728504886, -0.4982222367467241, -0.31587165589266575, -0.04489987674554006, 0.4115316299756786, -1.2974750674557716, 0.015002353447647939, 1.0681922615563086, -0.10638338439371953, 0.15998622255504533, -1.0290891073140196, -0.36837317276635806, 6.356914105457699], [0.271695965011857, 0.15747008532420104, -1.2384378694414486, 0.72419804028223, -0.27432300049851255, -0.04706275306278711, 0.1557876885126929, -0.09449467114162238, 0.15310334468373313, 0.5451189187478714, 0.1250774289816028, -0.37500291474012615, -0.04495582910646733, 3.741402624460912], [0.39679317653763263, 3.742154726685816, 0.9756723535062927, 6.717207113965145, 13.749561517573923, -0.5147244492774962, 0.7970993186927572, -0.438534942793298, -0.9876295752207574, 0.08257085086071923, -0.14917090912555261, -0.07129625218778471, -0.21690493394613192, 31.54611711629915], [0.16607345573389568, 1.104760090857043, -3.0807431716241624, 1.824422947281548, -2.4441660326831554, 0.3159327301243739, 0.4624220626753517, -0.06409191498959908, -0.1557602865941532, 0.3977037770855292, 0.03938561976682459, -0.5831658111790724, -0.17695396882382758, 14.786402621119615]]",519,31.10051136229801,5.465181622684306,53.04540270714259,523,165,48.55103532061936,5.270700286980885,86.57544033706237,166,178,36.50767848594488,5.353459990942479,66.10810954820933,165,10
0,1,1,"[-0.008243927321455928, 0.0056115494666502804, 0]",-,-,-,258.4081184864044,"[[3.061957274338813, 12.236795789884678, -6.029103202032309, 3.349983516994697, 12.603309054858139, 3.8092509228440954, -0.6288757956534696, -0.260661736472098, 20.533796122295445, 3.548861282679584, 0.6200190907593953, -1.4227229215694737, -0.5502482585689802, 39.48240104130665], [0.1508382857810488, -0.2781959020086952, -0.36182229687938117, -0.39992898457382314, -0.4277262029429195, 0.21901976648686447, -1.1575525434944296, 0.05148640418284941, 0.5717844825114983, -0.18701624544818785, 0.12758239935052473, -0.7930649899420117, -0.3145979312656919, 8.110336096001411], [-0.10523852353773762, -0.3584306570244343, -1.041252647670461, 0.6062670906445541, -0.5703406632818133, -0.21625133434563318, 0.1049748892732131, -0.03991010419430225, -0.2620585084977851, 0.44375816059248563, 0.09780234891933251, -0.24969966716583245, -0.02670221321461627, 5.469948987952628], [0.01979525908560814, 3.2261980215035377, 1.173080324788264, 6.599233240774638, 13.453782645772675, -0.6837865592898082, 0.7461971268288508, -0.38397550773267025, -1.4027805265020517, -0.018737312181666604, -0.17641497007554455, 0.0541499856522183, -0.1986751568382112, 33.2744813824236], [-0.21088640696305944, 0.5888656206898041, -2.883431370023512, 1.7065357934394092, -2.7398934710880725, 0.14674022400342354, 0.41161004043189225, -0.009551752806571737, -0.5708538346484597, 0.2963895832238052, 0.012112474532727398, -0.45777607704177137, -0.15870606275365762, 16.514804872248785]]",519,31.956900751737436,3.5780366369013366,52.05989418811009,457,165,49.10024050031909,3.4526188023078626,86.99101839230566,155,178,37.298608289902255,3.511320001335855,65.30848205015181,153,10
0,1,2,"[-0.008243927321455928, 0.0056115494666502804, 0]",-,-,-,186.9094877243042,"[[2.8089939828891692, 11.682416648777444, -6.0418497569594365, 3.2249711334830207, 12.270175188093967, 3.7554461941947603, -0.5502050955715224, -0.26348114378762183, 19.89188699164848, 3.4263557180398196, 0.5686288431954047, -1.247016968060572, -0.5063406411625659, 41.36818530050968], [-0.029598821099229164, -0.9072461409506165, -0.3197903643178503, -0.5738158291176999, -0.7190393673966111, 0.19782117615668365, -1.2351301153886205, 0.06193278342789607, 0.021527306664077043, -0.33593086193282684, 0.08057539351571578, -0.7155536542764991, -0.3022330233018585, 10.008648472474349], [-0.36156064809976474, -0.9323744700514501, -1.0557642313846747, 0.4651961379414469, -0.9375506421193073, -0.26562323365859586, 0.20221422148315388, -0.04156501580615335, -0.9049196850903001, 0.31788911570684936, 0.046886754430643336, -0.07777963937341484, 0.019103174112270117, 7.402353741744863], [-0.22958165252044274, 2.6566712623930653, 1.154280539138208, 6.4645152773693, 13.107718358735655, -0.7416181213429632, 0.8455893298929192, -0.38659756311414767, -2.0452778608324205, -0.1452791577451825, -0.22951233973571283, 0.2210693866846888, -0.15398821001368823, 35.17675222065507], [-0.465511731705484, 0.016625151749377697, -2.888982788473731, 1.5698423781739312, -3.0838830744198056, 0.09453669735177914, 0.5074023396648232, -0.010980347545468533, -1.2115863262214412, 0.17125277092776459, -0.03949592926490641, -0.28677102083315276, -0.11371447987321469, 18.420630286528272]]",519,33.96545767714586,2.2233574518650134,52.9877481387699,405,165,50.924287005195325,2.113886485579021,89.294339943143,139,178,39.08231359371252,2.1959637619462073,66.28663670551295,132,10
0,1,5,"[-0.008243927321455928, 0.0056115494666502804, 0]",-,-,-,321.6839232444763,"[[2.6378729606743123, 10.165046679924892, -6.478112539553462, 2.341993619957891, 10.676326793404582, 3.3993972190386788, -0.5938281897267009, -0.11836617436544246, 18.02009604698671, 3.1066388068252686, 0.5485237374642048, -0.9466098182728416, -0.43112472320550654, 46.40829938739508], [-0.22509704911350345, -2.1312425686650847, -0.7939422719973865, -1.1519252820488546, -1.6081293591849686, -0.15535232371948712, -1.1232239431504565, 0.19035015796121227, -1.6882772050767374, -0.5998388279664043, 0.046969342492326024, -0.38627665026342867, -0.24708824332657142, 13.343901261505234], [-0.529340645492916, -2.4304202107194954, -1.4902716705809713, -0.40146685069741045, -2.4974847541239433, -0.6261530284994364, 0.13994394065314997, 0.10241796838490892, -2.775539562443894, 0.0013917954737701975, 0.02630944577469744, 0.2264931919390449, 0.0924223511481249, 12.395721996914135], [-0.40421211797110657, 1.154175969574023, 0.7241118812990307, 5.59146569500541, 11.526655416710481, -1.0936235178490739, 0.7810839179409146, -0.24165729261029503, -3.9162207649831577, -0.46113567779027576, -0.24795081109740089, 0.5301779402857102, -0.07954280877597898, 40.200515874987026], [-0.6349197944546141, -1.4831671132407211, -3.3324870693748725, 0.698792230524473, -4.667169814747841, -0.2631168077859741, 0.44659973259676344, 0.13278695915575178, -3.0844536845635124, -0.14590924998117608, -0.059391477757640074, 0.018264614036419408, -0.039580701463888555, 23.44071742318545]]",519,39.35677918348615,0.46867192788061074,60.005717695741524,253,165,56.36217189056022,0.42209103785446106,101.90402830066157,85,178,43.27377325395576,0.4926823868304654,74.13679698546044,91,10
0,1,10,"[-0.008243927321455928, 0.0056115494666502804, 0]",-,-,-,209.66292119026184,"[[2.740785758882461, 9.607803385031147, -6.914100202917853, 1.609237627842189, 9.125927271759648, 3.248123718371053, -0.4553484001880909, -0.1376398121734873, 17.158182947556895, 3.0079834349417154, 0.5066666896699574, -0.9471071252142333, -0.3700511129967097, 49.67516894179525], [-0.18960319431743305, -2.3342670286326057, -0.9644260344057669, -1.3400254267663438, -2.291668879545022, -0.277885629573937, -0.8161094332540738, 0.15168954874064824, -2.2422087514777225, -0.6352778314824631, 0.015624265707940023, -0.324335446643888, -0.21151413015882375, 14.062020091686149], [-0.4258453517660745, -2.9963704688078736, -1.930261195484814, -1.1342658917234059, -4.061998448127755, -0.7768148615119315, 0.2774086915403885, 0.08308146026267658, -3.6339414848363534, -0.10148064487093789, -0.015897310128541047, 0.22665043218123282, 0.15346683635317968, 15.681505670541824], [-0.3008886475514489, 0.5910160332702133, 0.2862209157358433, 4.8615591216234, 9.968981987235724, -1.243839924774357, 0.9195211195986679, -0.26090155094333056, -4.773899403852373, -0.5635525463528536, -0.2904024507966959, 0.5300622532740735, -0.01843895813487182, 43.473749741197985], [-0.5312750560579268, -2.0482653001077957, -3.7680656591982697, -0.03246635975263778, -6.222231121861117, -0.41376588004517256, 0.583955431522529, 0.11354265834027338, -3.942234338088171, -0.24797324927720676, -0.10174120703931436, 0.01813316602795687, 0.021261582702595504, 26.715492375104947]]",519,41.77555356939805,0.10156484422820936,67.35381082454863,128,165,59.1967481356934,0.09671388159235787,115.12443961565866,40,178,44.95193901810704,0.12046409413514693,83.10387350997432,48,10
0,1,20,"[-0.008243927321455928, 0.0056115494666502804, 0]",-,-,-,322.57782459259033,"[[2.8054137164568367, 9.290653159641453, -7.452169239778605, 1.2354359778465847, 7.907235630458559, 3.239297742723634, -0.5592210111539248, -0.12890441242492862, 16.869648428398325, 2.839781128844756, 0.48410798744328726, -0.9365064040825434, -0.31540126909834515, 51.802438621465356], [-0.18242427606122538, -2.2416482891844556, -1.489438875289803, -1.3716011806132276, -2.3132409162799346, -0.35094241468988757, -0.7084991630160139, 0.15479934003147083, -2.36105396530823, -0.6234919823486157, 0.028477107518050396, -0.28282435167641296, -0.20452785174051175, 13.52748661570795], [-0.3620710229788234, -3.3068243356377383, -2.4641687630170193, -1.5073290063666274, -5.266862060492364, -0.7863453094368645, 0.17540903458838947, 0.09209656179250095, -3.925717850993038, -0.26523338938393415, -0.038085212053571675, 0.23657949169316678, 0.2081946747452504, 17.790474672782416], [-0.2365626160451424, 0.27834345025053814, -0.2496682492663781, 4.485503613121636, 8.757471629813342, -1.2544839582708696, 0.8162617754455823, -0.2520526179536295, -5.066834472289383, -0.7277160976527263, -0.3123771153019566, 0.5401927553088436, 0.03618309220484283, 45.59496096402164], [-0.46766139628771836, -2.359409975737142, -4.306221615871359, -0.4070415679141777, -7.436073394516895, -0.4234817663957838, 0.4820865780415876, 0.12243927247855246, -4.234624771937908, -0.41246101067636937, -0.12379584335221545, 0.02848758298983077, 0.07615841993695115, 28.83494444998986]]",519,42.82083188959542,0.021336413634737286,72.45281023903759,60,165,60.900550619295885,0.027893830037911415,124.71536908400708,17,178,45.634687720462324,0.030858248191498648,89.79716960230202,21,10
0,1,50,"[-0.008243927321455928, 0.0056115494666502804, 0]",-,-,-,229.23259973526,"[[2.810913287568087, 9.078867918977895, -7.928438725276212, 1.0142110400376256, 7.4390478424005195, 3.1592953927964547, -0.5995105234341079, -0.11552527989983707, 16.825300182618225, 2.6455047190683345, 0.4697840485784703, -0.9157975999665334, -0.28535360483717287, 53.20679830240474], [-0.27548618445301964, -2.104625899811344, -0.9795513453673096, -1.3490346064038128, -1.63646595813406, -0.31530984047676236, -0.6902469467463216, 0.18000962622270866, -2.5401027789210593, -0.30487043566396294, 0.09346738736511927, -0.12564802299548636, -0.258391165348894, 12.261585864074139], [-0.3553382884917236, -3.5244330387065266, -2.94537965669028, -1.7316797908892219, -5.7494953010725585, -0.8650796830435928, 0.1345304050708217, 0.10371097525070944, -3.968107268621734, -0.4621930014602639, -0.0525317468488019, 0.258223453432105, 0.2382688071500176, 19.21642705688643], [-0.2333960895068996, 0.06249135006230768, -0.7294208031660131, 4.263543923357057, 8.281859069177193, -1.3298116527847883, 0.7761902733085994, -0.2393064443970189, -5.106978704676742, -0.9232801370452361, -0.3261462503087332, 0.5641134693093528, 0.06597788212887055, 47.00588637141357], [-0.46143716970453696, -2.5763887002409604, -4.782692383707579, -0.6298530657025092, -7.908674936964881, -0.5019593041216507, 0.4407340810775995, 0.13438008593959183, -4.275934119310453, -0.6085662248289111, -0.13824749026162964, 0.05049667714076889, 0.10591005521231871, 30.24871751594879]]",519,43.37553831121287,0.0037708013220416206,76.48163306454055,18,165,61.875260718447294,0.00818416814114523,131.63053332101921,9,178,46.012395344450766,0.0104396700911534,94.58739877832546,9,10
0,1,100,"[-0.008243927321455928, 0.0056115494666502804, 0]",-,-,-,224.25217533111572,"[[2.8003712763105884, 8.997748108650164, -8.176002051622216, 1.0168078636549127, 7.232723742754416, 3.1611627989964157, -0.5696818545731438, -0.12263714238378613, 16.78212705323395, 2.6456437610561303, 0.4709114663036157, -0.9022317205658533, -0.27246729203570763, 53.71992773682142], [-0.2490935719443348, -2.118958865496145, -0.8096025619757101, -1.416132507331655, -1.4255707848435673, -0.28129664629421763, -0.6012734509472517, 0.18868635709940576, -2.4848567582996055, -0.29858452729815826, 0.07591534865380141, -0.18101169467836115, -0.2697165552426771, 11.827492860093585], [-0.36802468242888653, -3.5976853471733974, -3.183552910903356, -1.730389404873358, -5.959933880931918, -0.8646177639675833, 0.16422249846976184, 0.099837498239245, -4.013745181152857, -0.4591227044085492, -0.051015743410762066, 0.2691395544502957, 0.2517972680924859, 19.71926590409213], [-0.2459948668296044, -0.013992775621094033, -0.9745820391120357, 4.26659990754959, 8.076006719237478, -1.3293089970119396, 0.8040308790786461, -0.24382261685206152, -5.153735016662314, -0.9203639066908922, -0.32427501130487996, 0.5762874150501458, 0.0794707490433324, 47.51653781695007], [-0.4741471407769327, -2.6504207557864907, -5.023519926954159, -0.6284363323222165, -8.120777412341498, -0.5011963024768258, 0.4702122266754672, 0.13052146722590371, -4.322063159346934, -0.6056527936250383, -0.136616416481661, 0.06144999726634436, 0.1195765997708647, 30.75590855386673]]",519,43.536009328142406,0.001237361515409144,78.17184179490741,6,165,62.29350354739794,0.004885100852738768,134.66237917541108,9,178,46.08681321612677,0.007672348142666336,96.55574807411644,9,10
0,1,1000,"[-0.008243927321455928, 0.0056115494666502804, 0]",-,-,-,274.3789310455322,"[[2.834367173005484, 8.863613807832134, -7.858959559563781, 1.0221002912635284, 7.785594520642268, 3.169652113407876, -0.6923468074011889, -0.20152345323705984, 16.856727363054997, 2.862465698293318, 0.39954027161926825, -0.7921385649757072, -0.27537254292428454, 53.86942589481557], [-0.2748325642178565, -2.0415565375495333, -0.9328057593297355, -1.3091056080869192, -1.2197295648145847, -0.37964551174304273, -0.2525160061445884, 0.22191258312717793, -2.55458266122056, -0.3525674536492903, 0.013967369437330157, -0.2327198831348144, -0.22346755067843932, 11.656330064964282], [-0.4671940622936395, -3.889834515462907, -3.640180242457976, -1.7035630956975194, -6.26986982517248, -0.8103064413242304, 0.09221114249587348, 0.14746119454524997, -4.104923999650876, -0.6065304585511129, -0.01250899284857783, 0.33307954153369856, 0.2916304844077634, 20.925089125335834], [-0.2643601755841786, -0.25412861047481183, -0.9080266702406818, 4.217768965965394, 8.212174843348805, -1.3176684832683951, 0.6695345012785032, -0.23837236787139188, -5.102966951740563, -0.9940457872094007, -0.2592341209105177, 0.568594745164731, 0.05769182143393704, 48.06226382440991], [-0.5491160626946218, -2.915574839202748, -5.1108174232698875, -0.5476698374753922, -7.8090712369707855, -0.47992184522675946, 0.35639714173292586, 0.19136146690656822, -4.341256718358937, -0.695483528615881, -0.10063097042529608, 0.10388770320904867, 0.13582611249572205, 31.27288300452246]]",519,43.79895771170305,7.05527409432527e-07,80.34443359093098,0,165,62.52737391690121,0.002602468548937449,137.63333857805836,5,178,46.28713275912142,0.003721206621433706,98.9001923878854,6,10
0,1,10000,"[-0.008243927321455928, 0.0056115494666502804, 0]",-,-,-,581.808358669281,"[[1.7937322850382549, 7.383498626099821, -4.097209523884809, 3.1203428997596085, 8.304090192198185, 3.592988696089863, 0.49555683957565033, 0.18061194242490156, 17.9262249288471, 2.8947061154195994, 0.721465055471758, -0.4773470166728138, -0.22124265146387867, 42.128838922287905], [0.0854934703606155, -2.9261765864091442, 3.4032968980904807, -1.2407407261316377, -3.6330770781066564, 0.4373346045500697, -2.0651888518415134, 0.1014520659808878, -2.1847186593820247, -0.6137052910220476, -0.4347377299195471, 0.013370165253341658, -0.0072174770415846246, 9.697751129716845], [-1.0303463507131798, -2.859721940538832, 2.8751224935706245, -0.48150283729807497, -5.238390125562104, -0.3434209710115999, 0.830950079939475, 0.15333070780486052, -2.966873473742092, 0.1466073298713292, 0.06118544289715315, 0.49990192132458877, 0.2677391229586924, 5.891937760839154], [-0.704867291592941, 0.05451275538806548, 3.434353661861262, 6.127220999028359, 9.549761116221468, -1.230950941415181, 1.6344742988342518, -0.189262203668049, -4.3084528585808055, -0.7820787742368025, -0.2793222755100032, 0.6748812814331189, 0.18906179832344366, 35.31260172109456], [-1.112500825270848, -2.0826687364192455, 0.39107159870114133, 0.6571311727686704, -7.912881930177743, -0.04474784903132391, 1.23123111786422, 0.1781530389441106, -3.354357776538403, -0.1505479837654021, -0.020133763971650138, 0.2833176052433748, 0.1729089275629755, 17.94081059246712]]",519,52.07635707323659,0.00010395246576293093,50.30470773532146,2,165,69.21699798869169,0.007185417396368918,87.00397328824812,5,178,55.91239555547239,0.010974667579163891,64.19732031913536,5,10
