,fold,margin,knowledge,learning_rate,batch_size,epochs,validation_loss,runtime,num_iterations
0,1,[0.1],"[-0.008243927321455928, 0.0056115494666502804, 0]",0.5,5,10,279.78632470365187,6245.303239107132,1100
0,2,[0.1],"[-0.008243927321455928, 0.0056115494666502804, 0]",0.5,5,10,780.4533117783456,6982.561025381088,1081
0,3,[0.1],"[-0.008243927321455928, 0.0056115494666502804, 0]",0.5,5,10,120.33912013991286,6339.430312871933,1030
0,4,[0.1],"[-0.008243927321455928, 0.0056115494666502804, 0]",0.5,5,10,281.82582633140646,6296.3996567726135,1122
0,5,[0.1],"[-0.008243927321455928, 0.0056115494666502804, 0]",0.5,5,10,51.06391221700632,4448.1845445632935,800
0,1,[0.1],"[-0.008243927321455928, 0.0056115494666502804, 0]",1,5,10,91.22337160096357,7519.859587192535,933
0,2,[0.1],"[-0.008243927321455928, 0.0056115494666502804, 0]",1,5,10,48.21225537194037,7314.165733098984,900
0,3,[0.1],"[-0.008243927321455928, 0.0056115494666502804, 0]",1,5,10,94.55694234871588,7754.215674161911,911
0,4,[0.1],"[-0.008243927321455928, 0.0056115494666502804, 0]",1,5,10,127.55760991222073,8105.715162038803,903
0,5,[0.1],"[-0.008243927321455928, 0.0056115494666502804, 0]",1,5,10,63.621159625586735,7320.375195741653,958
0,1,[0.1],"[-0.008243927321455928, 0.0056115494666502804, 0]",2,5,10,78.44594660986203,7092.786531925201,800
0,2,[0.1],"[-0.008243927321455928, 0.0056115494666502804, 0]",2,5,10,48.26283820195766,7917.086680173874,869
0,3,[0.1],"[-0.008243927321455928, 0.0056115494666502804, 0]",2,5,10,81.31691251123736,8372.315573453903,800
0,4,[0.1],"[-0.008243927321455928, 0.0056115494666502804, 0]",2,5,10,217.99210894575475,8327.77323961258,791
0,5,[0.1],"[-0.008243927321455928, 0.0056115494666502804, 0]",2,5,10,50.66789450258252,6802.982525587082,700
0,1,"[0.2, 0.1]","[-0.008243927321455928, 0.0056115494666502804, 0]",0.5,5,10,543.6848477960546,7841.2870552539825,969
0,2,"[0.2, 0.1]","[-0.008243927321455928, 0.0056115494666502804, 0]",0.5,5,10,588.0474289262046,7622.955832719803,1026
0,3,"[0.2, 0.1]","[-0.008243927321455928, 0.0056115494666502804, 0]",0.5,5,10,588.0941218257205,8009.5887043476105,960
0,4,"[0.2, 0.1]","[-0.008243927321455928, 0.0056115494666502804, 0]",0.5,5,10,229.41190194826353,7921.875392436981,986
0,5,"[0.2, 0.1]","[-0.008243927321455928, 0.0056115494666502804, 0]",0.5,5,10,102.9966885770918,8102.710846662521,954
0,1,"[0.2, 0.1]","[-0.008243927321455928, 0.0056115494666502804, 0]",1,5,10,184.68780129425738,7855.004655838013,901
0,2,"[0.2, 0.1]","[-0.008243927321455928, 0.0056115494666502804, 0]",1,5,10,298.1810857134584,8171.527761697769,907
0,3,"[0.2, 0.1]","[-0.008243927321455928, 0.0056115494666502804, 0]",1,5,10,514.9873224413827,8290.011103391647,940
0,4,"[0.2, 0.1]","[-0.008243927321455928, 0.0056115494666502804, 0]",1,5,10,64.50411095352369,7955.171664476395,876
0,5,"[0.2, 0.1]","[-0.008243927321455928, 0.0056115494666502804, 0]",1,5,10,50.719658945268975,7300.547682285309,909
0,1,"[0.2, 0.1]","[-0.008243927321455928, 0.0056115494666502804, 0]",2,5,10,203.7692402611652,8122.0934500694275,828
0,2,"[0.2, 0.1]","[-0.008243927321455928, 0.0056115494666502804, 0]",2,5,10,146.95668464354534,8354.506195783615,854
0,3,"[0.2, 0.1]","[-0.008243927321455928, 0.0056115494666502804, 0]",2,5,10,629.1205312200067,8754.705878973007,786
0,4,"[0.2, 0.1]","[-0.008243927321455928, 0.0056115494666502804, 0]",2,5,10,529.8278692824839,7695.897881269455,800
0,5,"[0.2, 0.1]","[-0.008243927321455928, 0.0056115494666502804, 0]",2,5,10,802.7674617388092,6055.70988035202,600
0,1,"[0.3, 0.2, 0.1]","[-0.008243927321455928, 0.0056115494666502804, 0]",0.5,5,10,281.93132420609123,8862.66408109665,1001
0,2,"[0.3, 0.2, 0.1]","[-0.008243927321455928, 0.0056115494666502804, 0]",0.5,5,10,66.18079933299573,8070.224810123444,962
0,3,"[0.3, 0.2, 0.1]","[-0.008243927321455928, 0.0056115494666502804, 0]",0.5,5,10,476.34515441124483,8527.200634717941,978
0,4,"[0.3, 0.2, 0.1]","[-0.008243927321455928, 0.0056115494666502804, 0]",0.5,5,10,59.77055166971843,7576.63562130928,954
