,fold,margin/alpha,knowledge,learning_rate,batch_size,epochs,runtime,weights,violations_train_data,total_mse_train,custom_metric_train_1,custom_metric_train_2,violations_train_prediction,violations_val_data,total_mse_val,custom_metric_val_1,custom_metric_val_2,violations_val_prediction,violations_test_data,total_mse_test,custom_metric_test_1,custom_metric_test_2,violations_test_prediction,counter_examples_found
0,1,0,"[-0.008243927321455928, 0.0056115494666502804, 0]",-,-,-,122.5892767906189,"[[4.715009155711905, 3.7558745527028594, 11.01733188380744, 3.3384062212726824, 8.300225924613498, 3.7967710735133307, -0.9492002289536102, 0.7298789454387081, 22.12086436414182, 4.055981005559964, 0.626956205968018, -2.545125333190389, -0.9074491249540354, 33.38006392587141], [0.47381836219176726, 0.24208740139184715, 1.3994099267927578, 0.5365995861118221, 2.0434866795688915, -0.19766096216046425, -0.985567110871657, -0.10377158354463314, 0.35530073723673133, 0.659721817508, 0.06127412404551473, -0.4474214837480988, -0.27766537612249476, 5.350600530262944], [0.324810373673038, 0.8042836904084222, 3.3560364978711985, -0.42620837926838956, -0.3657705704658642, 0.07220961245399217, -0.1533092397719877, -0.2941331071733274, 0.201605141702325, 0.8364810247227454, 0.1022479346763044, -0.4441496743242361, -0.05371775801796184, 4.646842945060764], [1.0918144667817458, 2.9034321713151767, 8.147302047144782, 7.0023391330243, 3.610443895927728, -0.5634587832386657, 3.5428030958149073, -0.5579109563190965, -0.372105798688168, -1.493851160094046, -0.3263909392012222, -0.6128143524911301, -0.4425976123645058, 31.35968680946067], [-0.14854995617139521, 0.9169888646075538, -2.9481341018202145, 2.260816702722645, -1.6606363369920918, -0.2780149605003309, 0.3581175205594915, -0.07246569452327262, -0.8213800965556277, 0.10405946399332824, 0.24383793587304384, 0.1811014673890168, -0.05088729850836277, 16.45715172002636]]",518,32.965975805567865,-,-,511,176,47.15983904366427,-,-,172,168,36.94944171079125,-,-,176,10
0,1,1,"[-0.008243927321455928, 0.0056115494666502804, 0]",-,-,-,142.10087823867798,"[[4.332822396185791, 3.548819075451118, 10.66176087972614, 3.2083426062434826, 8.239740314981836, 3.672701045937284, -0.9864266452869835, 0.7327367454548884, 21.837742432525626, 3.8254417348954255, 0.5734352509675172, -2.441163865976137, -0.8962903958846902, 35.01756344923027], [0.07455811319668561, 0.042399958022565486, 1.0263550692330514, 0.38763349760795734, 1.6626656723123663, -0.30358097478058294, -0.955307493358316, -0.09543747316002223, 0.059348461832660744, 0.3911570702404721, 0.010856117345289925, -0.32481442513858044, -0.25972006355617294, 7.049518592511978], [-0.057919505821132554, 0.5969200827977235, 3.001857624035748, -0.5561198322133477, -0.4250638372447138, -0.052255385363622335, -0.1912632330732543, -0.29051485968177143, -0.08098855856573264, 0.605696464930084, 0.04874708043035093, -0.3399523728204592, -0.04269707031390493, 6.282685434705682], [0.7086327202564036, 2.696443058753797, 7.79180469615574, 6.872849433188814, 3.5515297635853313, -0.6873818640700133, 3.5047235171456506, -0.5544582719129539, -0.6550064803655015, -1.7247195395728383, -0.37994800773887694, -0.5077916462512593, -0.43126146976386487, 32.99724836522287], [-0.5314541885681255, 0.7095099916156788, -3.3036083366825593, 2.1311352864913933, -1.7190114192387262, -0.40235855670745907, 0.31979141923724425, -0.06887735013495147, -1.104052730570616, -0.12679304444823725, 0.19036068783117188, 0.2855563631059245, -0.03976131982184099, 18.094260529338996]]",518,33.847581622091454,-,-,470,176,47.40944754360191,-,-,157,168,37.85369001891144,-,-,158,10
0,1,2,"[-0.008243927321455928, 0.0056115494666502804, 0]",-,-,-,203.27096700668335,"[[4.089246189409798, 3.2409033547660133, 10.195614119344969, 2.9531386449864567, 7.995406209785377, 3.614918985993913, -1.0615959728092668, 0.7265955422144854, 21.18923174488611, 3.683319291370024, 0.5308207588755356, -2.2844159961650843, -0.8627308797280575, 36.797566592167875], [-0.1476823897886845, -0.27008210889358586, 0.604004178847455, 0.14888202783311, 1.4694000974951382, -0.37636623672812763, -1.0687334699883249, -0.10662043142143121, -0.5666107550360144, 0.2769544799179716, -0.037652779407954126, -0.18516712317397074, -0.23120862639171846, 8.800891342144643], [-0.30167726009560075, 0.28525453232409065, 2.538762091078887, -0.8114154794430164, -0.6646663886887794, -0.11057109505957294, -0.2673838964030963, -0.29662257485368076, -0.7289829470492047, 0.46327451966792565, 0.006181994498369767, -0.18208281684294586, -0.00898042494475139, 8.06365565659428], [0.4643807221025643, 2.386996745156869, 7.3258317479116775, 6.617212775185156, 3.3121029154494743, -0.7452797062935289, 3.428338696399723, -0.5605531365290108, -1.3027875437232452, -1.8663114139420112, -0.4224693724499871, -0.3495261023047465, -0.3978216676483885, 34.77688383087115], [-0.7753481101965578, 0.3978936056857968, -3.7677200308164185, 1.8757879165029896, -1.9564128611803364, -0.4607837460751746, 0.24301582133593558, -0.0749601393201873, -1.7519121665860673, -0.26903995450234597, 0.14786737188691795, 0.4435641962600716, -0.0061751246336167595, 19.875206925385356]]",518,35.92084773439659,-,-,417,176,49.166860375449694,-,-,141,168,39.90253142960979,-,-,141,10
0,1,5,"[-0.008243927321455928, 0.0056115494666502804, 0]",-,-,-,449.21499586105347,"[[3.6829420762116047, 2.514439168223388, 8.521982078381903, 2.2219481672628882, 6.960601923156039, 3.4367436283385997, -1.0535734895708382, 0.8966010982789565, 19.27613050224804, 3.680282694955756, 0.585502026205052, -2.037427795048716, -0.7451833638329322, 40.88529184916984], [-0.5221569181873187, -0.7301217834605672, -0.7524153335563092, -0.4308233876040403, 1.0947264781868076, -0.5696340738537186, -0.9954463738950019, 0.058371121022001426, -2.3322017935771684, 0.26357768248991587, -0.0026958146225446095, 0.02900951543719565, -0.13570585953528602, 11.43275578521575], [-0.7072912436804856, -0.437189811562285, 0.8603797467682905, -1.5427817460004443, -1.7062186622274766, -0.28783551138613267, -0.2574425274853715, -0.1273217764090927, -2.6433274597323404, 0.46078946006470306, 0.06081415757480003, 0.06339242340895339, 0.1085927383675286, 12.152525316795247], [0.059789893443798384, 1.6619886192663227, 5.6521648033208685, 5.885749205968616, 2.2696016390926017, -0.923512975701787, 3.4386134297804376, -0.39115378407510126, -3.217123654662143, -1.869599788505941, -0.3678035106825609, -0.10514334830208105, -0.28032733733751125, 38.86506262834963], [-1.1806063083545162, -0.3243417666176558, -5.443249013471975, 1.1442450553720018, -3.0016397534240036, -0.6380645345421173, 0.25408309742429946, 0.09428449737617815, -3.6663485193470087, -0.2716344190513715, 0.2024028876189624, 0.6887419209754515, 0.11140620363761106, 23.962471519565533]]",518,40.97684890557896,-,-,253,176,53.87891932055394,-,-,81,168,44.622382047001366,-,-,88,10
0,1,10,"[-0.008243927321455928, 0.0056115494666502804, 0]",-,-,-,230.01989006996155,"[[3.74464126811809, 2.246990240637346, 7.8540341560649924, 1.7389768179630611, 6.635941312509846, 3.2330006406091005, -1.2198990997041772, 0.8542038354567372, 18.49479990054498, 3.5909501925496845, 0.5253653630833577, -1.9146853034331648, -0.6563720419750934, 43.211457964942376], [-0.4200534609897223, -0.7075333169436857, -1.0189304693964214, -0.775315227868182, 1.1622118846221208, -0.7873211870134308, -1.0630591679693007, 0.011208263546324914, -2.9493243751689637, 0.15718915295931568, -0.08761810081917074, 0.11697650667587267, -0.06841255277314444, 12.252784273425284], [-0.6453991705671505, -0.7042419802005045, 0.19469963672634694, -2.0262185855143295, -2.029259001373074, -0.4915706763996646, -0.42444344319982696, -0.16953867151581625, -3.4247740187099853, 0.3716023348233855, 0.0006113278064697714, 0.18562644967240977, 0.19741282630091966, 14.47739274324911], [0.12187532015727488, 1.3946080117942476, 4.984082696990239, 5.402875390862374, 1.9468560484911355, -1.1274409243046275, 3.271574905931072, -0.43345964825929073, -3.9986532482415713, -1.9590419446409377, -0.42805303024725183, 0.016985105221657876, -0.19147482510678254, 41.19131463586805], [-1.1187274231984257, -0.5916550447750099, -6.1108209482321465, 0.6608001454201725, -3.32386279482515, -0.8416712679060832, 0.0866446830932621, 0.05205195486513478, -4.447870163177106, -0.36099292567471775, 0.1422082228330204, 0.8109664632543762, 0.20026524254470715, 26.289056007396574]]",518,43.34239250566659,-,-,132,176,55.79114594925826,-,-,49,168,46.79708235144779,-,-,48,10
0,1,20,"[-0.008243927321455928, 0.0056115494666502804, 0]",-,-,-,168.60536932945251,"[[3.755806663757774, 2.1157235397371985, 7.382930936078515, 1.3751011172419991, 6.095123397014016, 3.1308159804795537, -1.34867107925503, 0.8383741067587799, 18.281986973364695, 3.419157746332561, 0.5004495790250894, -1.832464665745393, -0.6093490584420275, 44.78706436120106], [-0.40734405529995604, -0.582351710168921, -1.3362345775705267, -0.7336304768271057, 1.3401650918902617, -0.8514769963386274, -1.0650371710445832, 0.015254418753458421, -2.9833642081304728, -0.015975770713308603, -0.12632973458293167, 0.1574701110599306, -0.041053834035959205, 11.946022787766042], [-0.648296626554099, -0.8638456554958629, -0.2766979126003396, -2.4374256165870096, -2.464773749557843, -0.5971149332883486, -0.5644186101926271, -0.1681815226181663, -3.664508513997514, 0.2514640580686928, -0.02353436975879266, 0.25511737353500447, 0.2465665645654286, 16.076454341224483], [0.10756250369028593, 1.2533204426705542, 4.5227329345040586, 5.03104461906223, 1.519192238921751, -1.2227085317122144, 3.132406868598616, -0.4374530997607589, -4.2437757095147095, -2.0785913799159874, -0.4469233370201594, 0.10564395265873358, -0.1415677734567913, 42.767965389099444], [-1.123676198633087, -0.7482958222490075, -6.565790758274464, 0.26487075344569455, -3.710997371968536, -0.945022122799943, -0.06967548171468763, 0.05339115838832691, -4.691009187948338, -0.4736022679314783, 0.11957093532188497, 0.8847172543188718, 0.24921110790571888, 27.8684168033317]]",518,44.54877584478619,-,-,66,176,56.65250719180736,-,-,25,168,47.66077533433151,-,-,28,10
0,1,50,"[-0.008243927321455928, 0.0056115494666502804, 0]",-,-,-,162.9756474494934,"[[3.6370271307954063, 2.114487006772033, 6.424256512609572, 1.2162273779804518, 5.757023314112193, 3.1117734830743107, -1.4167623678617096, 0.8367521107843968, 18.10022065859183, 3.4007521939697973, 0.5201098263347806, -1.6861905650234226, -0.5645172474738723, 46.1688242436502], [-0.32804564910252143, -0.7620699917143553, -1.2608870549889917, -1.1065183642598866, 1.7370333140341578, -0.558031212022651, -1.2109596967927576, 0.05273826592090189, -2.922858876591986, -0.27886502705185484, -0.13908079228554118, -0.01842914294156503, -0.06928312364491294, 11.904135947222128], [-0.7474200136794852, -0.8348141844874818, -1.1989309297423703, -2.555700869602043, -2.8704483288286924, -0.6089148961814002, -0.6324010778418769, -0.18716027613308192, -3.822205580501599, 0.18920580654603136, -0.0055973932886330706, 0.4087901583690989, 0.28724568956202284, 17.398661778407778], [0.017989218439771023, 1.2614552282219407, 3.5536762145887195, 4.88225740631713, 1.1151439590665686, -1.2459101298477349, 3.0664469950905278, -0.4524638391264887, -4.39852746986331, -2.149133348609062, -0.4344736149262665, 0.2416052607744156, -0.09914808313676361, 44.147984960541145], [-1.2221561480157166, -0.7264247290273996, -7.53829630053914, 0.13198056490320886, -4.140011206588476, -0.9592012370360629, -0.12780105456248309, 0.034116085561208195, -4.8453854278237305, -0.5477317737140242, 0.1362616944499005, 1.0351506033052837, 0.29096364070649394, 29.238468755761307]]",518,45.40517703166415,-,-,22,176,56.762960901132935,-,-,12,168,48.02495368335159,-,-,12,10
0,1,100,"[-0.008243927321455928, 0.0056115494666502804, 0]",-,-,-,216.02920794487,"[[3.628056476073048, 2.0408199288836646, 6.643572842022506, 1.05825044870591, 5.466358794523574, 3.108965220383555, -1.400327403174583, 0.8217622980527026, 18.06678272017023, 3.402364122507998, 0.5269335187506915, -1.6478289904552816, -0.5847552525198589, 46.54939075742788], [-0.26771454388614474, -0.9693268210552473, -1.1886409259352797, -1.044422243074905, 1.8145094950138339, -0.5024776670077891, -1.3425239793544734, 0.09026321026522739, -2.9332394322913036, -0.3549621813741441, -0.1287523979457101, -0.09799991106141268, -0.11098509118473689, 11.880190603712535], [-0.7595787816741766, -0.9130070571667541, -0.9870912687448431, -2.700864216340713, -3.1785590885768373, -0.6146208064262724, -0.6085034402232459, -0.20110588216635067, -3.853792800328373, 0.18057247636729276, 0.002215405477584177, 0.44989809118346713, 0.26858208382793075, 17.792071762663152], [0.01014720981179211, 1.1846788970312607, 3.7704712101352613, 4.723509273723977, 0.8020658141556012, -1.2532545478319543, 3.084393399014387, -0.46533686282152703, -4.426309653674616, -2.1522131353310625, -0.42750488746046333, 0.27814161898379336, -0.12009220957011149, 44.52568432395061], [-1.2332635031123182, -0.804154163117284, -7.318696052189266, -0.01617994482672538, -4.458912567742902, -0.9655706886724836, -0.10151977977532844, 0.020650172910697016, -4.875721228962008, -0.5551625059425352, 0.14355111830955053, 1.0749988740559417, 0.27177944626569217, 29.622877463458657]]",518,45.715030139403154,-,-,10,176,57.108209096395505,-,-,13,168,48.327425304449555,-,-,10,10
0,1,1000,"[-0.008243927321455928, 0.0056115494666502804, 0]",-,-,-,190.13826274871826,"[[3.7285062368058934, 2.184261851748072, 6.757479736644059, 0.873386566195972, 5.451568876839858, 3.2903723464552557, -1.3254790970564703, 0.5707766876670284, 17.97105790981206, 3.079775874854998, 0.4704212947435817, -1.4788812267175473, -0.6283951403103476, 48.35268482449279], [-0.05342013518213564, -0.371437760792553, -1.7184371212833822, -0.7341797560683152, 1.6867293736011348, -0.4069679042505191, -0.9599867128590156, -0.15597969540794088, -2.756054485016736, -0.3484384338378976, -0.25920442471610483, -0.34994569449705343, -0.21948677364892544, 11.692228807906059], [-0.9077772686524218, -0.6086589161143657, -1.7718897525920871, -2.6337591645924174, -2.6208637000656703, -0.670731094087387, -0.5351208527688058, -0.17768482995616797, -3.6954840856808118, 0.18348827392483086, -0.12913494222218122, 0.30020840020224626, 0.36081325613482806, 19.882297303346384], [0.01990519380500165, 1.4280288934832288, 3.87627366533302, 4.79922026148865, 1.4177933843032844, -1.2987774018886844, 3.1614629564866608, -0.4772255707430837, -4.432793989893511, -2.270412887501245, -0.6163862110999975, 0.18427797142550603, -0.025216329181182037, 46.251268587146605], [-1.3548011285020551, -0.46747669952244686, -7.500842139155892, 0.14369573688167872, -3.6468677692655302, -1.0333904115064023, -0.03868769492301065, 0.043006465570294444, -4.745962460450091, -0.5096628994566896, 0.02265506253088472, 0.9163281204333089, 0.3491285060548463, 31.176217405383277]]",518,46.68316388219841,-,-,0,176,56.65257520693919,-,-,5,168,48.93933509788145,-,-,5,10
0,1,10000,"[-0.008243927321455928, 0.0056115494666502804, 0]",-,-,-,240.70748257637024,"[[4.539861361320761, 2.606041553457083, 8.933479087334256, 4.1326355933625845, -1.0756053393647789, 2.8849835066760696, -0.7026250354221427, 0.017016983658154128, 20.369044792552195, 1.8098769063764228, 0.3116846908388173, -0.9520584428954044, -0.6420714644205588, 25.787058582334488], [-1.6821751901530673, -1.4614910190777477, -2.8912687132882047, 1.658979052566138, -6.191143926639072, -1.8821022533924863, 0.3514806858353427, 0.4407120234664134, -2.672400652538535, -0.3864557915687034, -0.061015463137627166, 0.6435349485176449, 0.21046638288728226, -0.22812613333770537], [-1.1580860331040972, -0.8968568261430238, -1.398847222281185, 0.7435462387340179, -7.6305549478978305, -1.6653225214027678, 1.0063061308972348, 0.31833907440856446, -2.8405949668898938, -0.31056075645329584, -0.20076330585482935, 0.4399051521839716, 0.5001530683108967, -0.9474868104024884], [0.19415043346443162, 1.2433152433913515, 5.837339562666318, 7.804815431744368, -3.9477848679690153, -2.3489395066325067, 3.684280886138127, -0.07144366086645319, -3.2232274999611326, -2.1635258520337506, -0.7017626083267136, 0.2709981033687583, 0.06444700541670026, 23.150159510537375], [-1.4951864738480483, -0.6669151320727177, -5.4697834788967965, 3.741131361785928, -8.348491853511527, -2.071456822625717, 1.1303619240234388, 0.6059011488520512, -3.879109167410788, -0.5536557088027148, -0.03449660297518858, 1.024877949551628, 0.4694763610990632, 8.567971736268102]]",518,87.77974885027324,-,-,0,176,112.86300897340136,-,-,6,168,90.18920982345976,-,-,5,10
