,fold,margin/alpha,knowledge,learning_rate,batch_size,epochs,runtime,weights,violations_train_data,total_mse_train,constraint_penalty_train,custom_metric_train_2,violations_train_prediction,violations_val_data,total_mse_val,constraint_penalty_val,custom_metric_val_2,violations_val_prediction,violations_test_data,total_mse_test,constraint_penalty_test,custom_metric_test_2,violations_test_prediction,counter_examples_found
0,1,0,"[-0.008243927321455928, 0.0056115494666502804, 0]",-,-,-,122.67267155647278,"[[3.4908983006932006, 8.023389153013186, 0.21187626826589667, 5.63329485044671, 15.13770457834343, 5.718833963594617, -1.9730420109844404, -0.13183946766832272, 24.889496026248313, 1.8856237872161983, 0.19845801243701183, -2.1376669304978244, -0.1611429317310227, 38.6076549478616], [0.5726354783785792, 0.5348702609585506, 1.2571277898547684, -0.6551521420164415, -0.22246968770129552, 0.35144192218334036, -0.7886008604726862, -0.12331025612810603, 1.0293569147135615, 0.12547993907287078, 0.06123258862111239, -0.9177212184083691, -0.3273258187532245, 6.228189806797518], [0.3160540082457679, 0.9440730476589664, 2.611352418361744, 0.031328032356733676, -0.40207608640827325, -0.05936896405113997, 0.013470828997939771, -0.22269652722373243, 0.5635567090597633, 0.4528823229856708, 0.026572882044385283, -0.4627887375330394, 0.009885363175589188, 4.058389025676165], [0.14095393129708805, 3.717268284980105, 5.448602553159143, 8.211751697477018, 13.154698054659178, 0.16973431983008394, 1.2211872104947192, -0.5419474536665243, -0.12203979103498394, -1.11939071843768, -0.262204653516552, -0.4322109663105009, 0.04365003169193991, 34.720408679395064], [0.03286519972580021, 0.7807123821508224, -1.8935260531926668, 1.8043452468937058, -3.1397021337260718, 0.18453788952420117, 0.3289085418463502, 0.022599938298211088, -0.6629650090177065, 0.1638521307765297, 0.12232482219738046, -0.25197360739118674, -0.016264884663966025, 16.101117136538736]]",512,38.591010579870385,5.429807347714787,-,510,170,36.41731455588613,4.899038419250075,-,164,180,25.615777841605098,5.516858412652969,-,176,10
0,1,1,"[-0.008243927321455928, 0.0056115494666502804, 0]",-,-,-,249.07084774971008,"[[3.17634029632314, 7.600689973424554, 0.090144610687602, 5.350772177860165, 14.81418401245699, 5.529140481363776, -2.0025767691071312, -0.10746151793099494, 24.315130259269832, 1.7555932155226224, 0.18175286204314733, -1.9827205825258518, -0.17251259473714078, 40.241045196597604], [0.2101090026184852, 0.07861517793626456, 1.1131108725453605, -0.9283319343525164, -0.5862102788933411, 0.14178675032037755, -0.7287207289325283, -0.07301575039903349, 0.4072301640434216, -0.007153661901122977, 0.042898585158135286, -0.7288633829749182, -0.32324469733886024, 7.887936972366505], [0.0016134578585243083, 0.5205344029204167, 2.4875700328793124, -0.2510918679099838, -0.7299853126133048, -0.2490871213108807, -0.01644103606168163, -0.19840549969942098, -0.010740496450540019, 0.3222651385196816, 0.00984728779241441, -0.3076955074931014, -0.0013036452561939822, 5.6966774871075865], [-0.1734145467418395, 3.2938692472734705, 5.326546838579734, 7.930364652342729, 12.830011012058412, -0.020408046761792344, 1.1907268982865205, -0.5175289008471069, -0.6965784252767095, -1.2493112855366475, -0.2788604683549846, -0.2770329965796628, 0.032290539359466366, 36.354911826454085], [-0.28162822998341874, 0.3571841038558614, -2.0145806136359554, 1.5227652864466956, -3.4635767367268397, -0.00541180191683745, 0.2983638717934616, 0.047084490604537385, -1.237090132577378, 0.03368605246150615, 0.1056292324008843, -0.09678336331517111, -0.027573734358773024, 17.735128816492736]]",512,39.43156478302288,3.5978240091388893,-,454,170,37.41601134847791,3.1842077718143833,-,152,180,26.254706884031272,3.644494693755268,-,154,10
0,1,2,"[-0.008243927321455928, 0.0056115494666502804, 0]",-,-,-,247.14405250549316,"[[2.9603703827678323, 7.110805445179866, -0.1464413494262032, 5.086836103521706, 14.31242026488966, 5.290244898250896, -1.957321874770144, -0.055208707678790936, 23.513423430162057, 1.6462230819955552, 0.15488148919501654, -1.7944797673673332, -0.18279084214655786, 41.988394232966904], [0.041941799244239256, -0.3774812471802205, 0.8975370919395398, -1.2022651192039207, -1.047913205193255, -0.07725280587246938, -0.7723188113149423, -0.046723912336596674, -0.34715457089583884, -0.11396158939589418, 0.01772889357706065, -0.5743075997412351, -0.34897041079056734, 9.60965146977368], [-0.21460691293740897, 0.03168890515944959, 2.2519316957373787, -0.5157940009987675, -1.2270859187523193, -0.4880317778375709, 0.029655047655454566, -0.1461635583435518, -0.8127381084066595, 0.2135047767219395, -0.01696301623283746, -0.11939718781916442, -0.011769182066374036, 7.439689576984673], [-0.3897022244696621, 2.8049818250920633, 5.090050240271482, 7.664529934619084, 12.329705179750828, -0.258968159751945, 1.2374370486335684, -0.46539564241229703, -1.4982141970508498, -1.3590128785014328, -0.3057518189969867, -0.08881421095219949, 0.02198929373760984, 38.10133810842307], [-0.49782624904315653, -0.13157530682923874, -2.252493777886743, 1.2573102181742786, -3.964293093342053, -0.24421236050188572, 0.3450586284997678, 0.09920964839356833, -2.039162755905765, -0.07558226423299123, 0.07878125217542206, 0.09137372294868816, -0.037911529239169156, 19.481818203891592]]",512,41.45055571530637,2.2292779497785498,-,404,170,39.34510090920884,1.9316528980198593,-,125,180,28.064073222164712,2.279092588300163,-,137,10
0,1,5,"[-0.008243927321455928, 0.0056115494666502804, 0]",-,-,-,288.5822751522064,"[[2.789007890964303, 6.093263463916229, -1.0759475534773675, 3.9104754489928806, 13.031771435944137, 4.672006606020592, -1.7821917580650894, 0.06341794508883948, 21.1525372641395, 1.8028599738074944, 0.19365833735298552, -1.4667076530872334, -0.18612598162551638, 46.413770880131764], [-0.09722570815941922, -1.170894200248665, 0.1976612999088235, -2.2148526242816975, -1.6726227558887037, -0.6665230489640009, -0.549907629305026, 0.06731128563697003, -2.508483893684089, -0.036401172572425915, 0.031039286782198135, -0.29972527488260076, -0.3659102184553674, 12.671735673540947], [-0.3858529064793438, -0.9859555062822061, 1.3232739128784854, -1.6917975826623741, -2.50807929950208, -1.1060553334078536, 0.20434276101209622, -0.027529555575522956, -3.1733726144037897, 0.37002047868899757, 0.021777880092173473, 0.20829797392759478, -0.015110871948246743, 11.864830720343202], [-0.5609965738985517, 1.7873549976206062, 4.160665273922504, 6.488642028572124, 11.048779818124409, -0.876996990029945, 1.4120507372073352, -0.34676297035050474, -3.8589970686218544, -1.2022483838044298, -0.2669885867085646, 0.2389354807677869, 0.01864852559936634, 42.52667848003003], [-0.6690847312825928, -1.1492183156159899, -3.181444706900247, 0.0812626974398978, -5.245440861613157, -0.8622024689312656, 0.519667690194221, 0.21783700261012057, -4.39987138907771, 0.08100372082502319, 0.11752437494249962, 0.4190840948081584, -0.04125007611627427, 23.907368334894645]]",512,46.94190012467031,0.456392903617436,-,249,170,43.6768605212457,0.3820143588886058,-,82,180,33.02213905066213,0.5266209080093571,-,93,10
0,1,10,"[-0.008243927321455928, 0.0056115494666502804, 0]",-,-,-,385.49715852737427,"[[2.8363599486137563, 5.524157591176335, -1.653158382447761, 3.178084745139298, 11.836975246975172, 4.503627862925448, -1.7560665843086154, 0.08512153859229218, 20.22374667235229, 1.8437306732998706, 0.19899302460863974, -1.3877004388147731, -0.13567982672834733, 49.236895023021106], [-0.006608223352096705, -1.4056580467615043, -0.04582197428921922, -2.7049497978563086, -1.8357740161066889, -0.795074980943385, -0.5101031841589907, 0.06563234057758631, -3.0838566069960005, -0.015600864549275935, -0.007216431267404823, -0.26054458924601365, -0.37761508083297296, 13.389586689829086], [-0.33853150223464484, -1.5548608670875745, 0.7462399455541574, -2.424116393212577, -3.7029933931253223, -1.2746537199025962, 0.23065398694290645, -0.005820953655314422, -4.1022665765477155, 0.4109001448805393, 0.027120676045158897, 0.2873748420903104, 0.0353415646620279, 14.687665568317929], [-0.5135983915630365, 1.2183936829075612, 3.5835531198006754, 5.7563061033224185, 9.854193204236818, -1.0456305769291132, 1.438261844390349, -0.3250591310199044, -4.787930314490463, -1.1615144085170521, -0.2616312322219268, 0.31795115903068333, 0.06909405740740032, 45.34960367455172], [-0.6216829344634129, -1.718211240573707, -3.758495563790814, -0.6511042956230297, -6.440178724121692, -1.0308083613816217, 0.5459186429081029, 0.23951516378581633, -5.328773587110794, 0.12181699121805534, 0.12286345300699385, 0.49813902137774724, 0.009193736845431833, 26.730292761798584]]",512,49.20189584020691,0.10905152424100206,-,129,170,45.31237931083642,0.10303047402257401,-,40,180,35.506884894322965,0.16409100041197697,-,60,10
0,1,20,"[-0.008243927321455928, 0.0056115494666502804, 0]",-,-,-,236.69480776786804,"[[2.8431571243985814, 5.357547456225016, -1.954746913498152, 2.93774235098876, 10.59717775885881, 4.466637054748187, -1.833324854168062, 0.07286830219918285, 19.897997672527197, 1.8318774460257745, 0.21377744248142105, -1.3153940825830763, -0.10098830718136322, 50.960733070311235], [0.05170752608962658, -1.2467203702910927, 9.042991168375767e-06, -2.6963953216096552, -2.1447086082763085, -0.7841112173811361, -0.4631036602434093, 0.06393498060848679, -3.169577787099564, -0.24683870356314727, -0.023365823369698613, -0.30381523511196923, -0.3221413441968375, 13.160157324013811], [-0.3327973968162372, -1.7229440475702527, 0.43868796787143627, -2.663747452213982, -4.949519302550448, -1.3122298514829691, 0.15461689425291925, -0.01820962487922679, -4.427518249450219, 0.397665354784652, 0.04221004597628219, 0.36220409462266345, 0.0700638895832726, 16.416780641734615], [-0.5080577498620287, 1.0492754772283128, 3.280598704310016, 5.51656328882913, 8.612480058474272, -1.0833141479048185, 1.3613976259699616, -0.33697856759990547, -5.111725289726387, -1.1740132447468683, -0.24670786789832058, 0.3925130862219282, 0.1037400907626718, 47.074247247595146], [-0.6160657288620908, -1.8865138814507607, -4.0617098299560634, -0.8896890578049779, -7.680653388313763, -1.06873038144599, 0.46931934946224796, 0.22735870031652516, -5.653339041084507, 0.10906172130473776, 0.13795863187446028, 0.5730405938335724, 0.043779332939434645, 28.4530221758583]]",512,50.29922612214197,0.026887727093199833,-,59,170,46.156466724566904,0.02994956836757543,-,19,180,36.874359141307536,0.05107578768891164,-,35,10
0,1,50,"[-0.008243927321455928, 0.0056115494666502804, 0]",-,-,-,272.08610939979553,"[[2.8519208926712594, 5.19398122500602, -2.659033972659952, 2.662812798353992, 9.781724250165963, 4.391645957383181, -1.8462795333113111, 0.07620740498219801, 19.739165513184094, 1.760703850391829, 0.194080904232016, -1.259451288960032, -0.07404163903675692, 52.519135199887046], [0.10100293839767627, -1.3943308856324577, -0.08255902115933059, -2.2291398002094205, -1.6781810148185217, -0.6548312961691363, -0.49514055002086055, 0.1178716648228959, -2.961339548878672, -0.5475448309286948, -0.053337451425301184, -0.33094676577504095, -0.33683711994234644, 12.124005758921207], [-0.32324491746137957, -1.8852612616544535, -0.25864244773040307, -2.937599776028206, -5.7666219142269926, -1.387058323685763, 0.1427547465589404, -0.014795573064661383, -4.587226465833673, 0.3287769699433837, 0.022263792210631246, 0.4160694104492663, 0.09712667368851123, 17.969861044396175], [-0.4981829848378537, 0.886789900883055, 2.578416494474434, 5.242976910496309, 7.796606935844105, -1.1582644762711434, 1.3478458364999197, -0.33375723868266816, -5.27326275057198, -1.243506323443576, -0.26643797295147165, 0.4468031178572599, 0.13076778893174812, 48.632255496802074], [-0.6064505683889351, -2.0489155518080557, -4.762031902110246, -1.1638916955276506, -8.500248080614309, -1.1433535731067022, 0.45721587378544754, 0.23070825948838114, -5.813802348861734, 0.040078945627869, 0.11805507701774881, 0.6269237816990327, 0.07090268837710761, 30.010140103044556]]",512,50.98624974103499,0.004772093785973484,-,18,170,46.74087446305372,0.006331721981222391,-,10,180,37.751099712492895,0.014394070031820463,-,14,10
0,1,100,"[-0.008243927321455928, 0.0056115494666502804, 0]",-,-,-,209.08457040786743,"[[2.8212129293634005, 5.061155633654983, -2.959501731597131, 2.652989035525372, 9.657866166087798, 4.347756122834124, -1.8169939342504242, 0.09512665379644161, 19.68766431000078, 1.7380213134427551, 0.21993918839657897, -1.2701888813333828, -0.07922241062147649, 53.0486533268642], [0.056554913204624156, -1.4253033711745007, 0.23036934563322975, -2.1924059160588727, -1.2620706893346374, -0.6697210484374518, -0.7176862991635456, 0.16727547291823164, -2.8978546100599747, -0.6213725101280848, -0.010897298035007346, -0.1926476762199745, -0.38904299574258155, 11.626444716198549], [-0.34478957609995375, -2.0288809264738865, -0.540380346175497, -2.980861184651068, -5.912993798352818, -1.4220056758683244, 0.18364518100202665, 0.0019406571075907793, -4.652026698573182, 0.30166086310269835, 0.04692832763919801, 0.3974488282816872, 0.08966810629505544, 18.519366715773582], [-0.521216259130319, 0.7551864681347464, 2.277244338761899, 5.214596658619331, 7.6714003401124495, -1.1990381484303771, 1.390804668470201, -0.3186443107793369, -5.333698820582891, -1.2655127640012518, -0.24133878840975037, 0.4272662299448478, 0.12393039420976897, 49.16132528961082], [-0.6279973810001014, -2.1898924873875623, -5.038066248550553, -1.2027127130286028, -8.628663305947853, -1.17988970341892, 0.49514355402565735, 0.24741869762808663, -5.875557662478586, 0.013196184631131825, 0.14262827416964827, 0.6082331985381743, 0.0632434452768536, 30.543544347930727]]",512,51.2422592179274,0.0010855397042151306,-,7,170,46.99551653194665,0.004900529139409728,-,8,180,38.0614502853454,0.009080565561149159,-,11,10
0,1,1000,"[-0.008243927321455928, 0.0056115494666502804, 0]",-,-,-,137.69507575035095,"[[2.842389162946744, 5.118113013141945, -2.356161081304006, 2.2638753990034366, 9.778963020902347, 4.502017004350152, -2.467417263627636, 0.2914557342889865, 20.07016719516867, 1.1142228772676441, 0.15931721337968893, -1.4858858926229404, -0.018409834918983622, 53.78212404472623], [-0.12440934024448286, -1.1651545227379818, -0.9938792050335169, -1.8089214672574816, -1.9862218447552071, -0.7938455065867768, 0.12199061428139492, 0.188060713082492, -3.0239436364443315, -0.49146894776554706, -0.03593463405481271, -0.13144554797609814, -0.3521307453329649, 11.409703362592682], [-0.2619888995588137, -1.9241626571324624, -1.6257146645752074, -3.3322252816133795, -6.500522120478491, -1.4009434798723743, 0.4087774055025657, -0.17920336638068962, -4.808872875483748, 0.5024551365830615, -0.010619714529133593, 0.4157985384954453, 0.10984789725737694, 20.159619929786864], [-0.41243832150666093, 0.4701043096124106, 2.715914166433807, 4.792643194012985, 7.8101373812982695, -1.1239890669520458, 1.2315376135895046, -0.3863579799895453, -5.528130709138534, -1.211932394626196, -0.2784911472904409, 0.4343052514538047, 0.12885993769932144, 50.2605287681207], [-0.5318676207550784, -2.155799940189979, -5.209667847990866, -1.2954604193977821, -8.16898159311035, -1.192888884216252, 0.4986510552381476, 0.10594256397167401, -5.969738686796246, 0.2759133677480358, 0.09631972487987964, 0.6669044234022238, 0.05820177999334815, 31.0850684608763]]",512,51.575811914608124,4.993725805490327e-06,-,0,170,47.463160287002594,0.00032084773600447923,-,1,180,38.97061947255336,0.0007044914950493864,-,3,10
0,1,10000,"[-0.008243927321455928, 0.0056115494666502804, 0]",-,-,-,406.645534992218,"[[1.638594796891151, 5.69949354543055, 0.6784055991756254, 3.2294939765295707, 13.67612925077818, 4.574159095252321, -2.0409161410482177, 0.19764990398425178, 20.083875577873496, 1.5791409169222275, 0.34169448012063236, -0.22204099321706505, 0.1463907815819182, 41.10284045077027], [-1.4281647325083153, -1.2080493699175134, 2.63304311518088, -1.8510556623041634, -4.352953546769649, -0.40460893377315055, 1.4125149796539507, -0.09924019065224012, -3.706115983534857, 0.1364184646424236, 0.13322667948889796, 0.9448027545261961, 0.10546030769520764, 5.560817081040447], [-1.5054964892270724, -0.6473700611802581, 4.325783419231202, -1.21753423327114, -4.527621790204651, -1.1450872678563095, 2.0532139999603984, 0.05792484881756799, -4.25995789513784, 0.4716451979253296, 0.19046911944467412, 0.9989434302814607, 0.401667656359956, 2.587059115807359], [-1.63081105178775, 1.2615675357265712, 6.485362668276454, 6.231342057704663, 11.337274521397708, -0.9155571441277188, 2.213939895887767, -0.2153238992916597, -5.1672725471721765, -2.154519945619835, -0.015738086652688103, 1.130196023963503, 0.40890991473073607, 36.67683317294601], [-1.8279864472140532, -1.0455522362052407, -1.0341435436080622, 0.3384902470817203, -7.3491252630215, -0.8825758489327656, 2.291921244361157, 0.2960142943352159, -5.574494979631992, -0.10738659360820263, 0.285761435163714, 1.218128326441676, 0.38477516043319976, 16.01869691631892]]",512,69.71316087835476,6.707652650005021e-06,-,0,170,64.68881490913378,0.003746710535416824,-,2,180,48.86882507398185,0.006063337964671467,-,1,10
