,fold,margin/alpha,knowledge,learning_rate,batch_size,epochs,runtime,weights,violations_train_data,total_mse_train,constraint_penalty_train,custom_metric_train_2,violations_train_prediction,violations_val_data,total_mse_val,constraint_penalty_val,custom_metric_val_2,violations_val_prediction,violations_test_data,total_mse_test,constraint_penalty_test,custom_metric_test_2,violations_test_prediction,counter_examples_found
0,1,0,"[-0.008243927321455928, 0.0056115494666502804, 0]",-,-,-,127.48333072662354,"[[4.0932684926133405, 6.308750176935172, -1.0994149553100256, 2.136346107583684, 5.774322878718167, 4.049913827597907, -0.6603991032902973, 0.36408935482730587, 21.308672552950505, 3.6901131881020337, 1.3333291038287134, -0.9845993568621707, -1.0700038715307825, 32.15830969814329], [0.37455226876752656, 0.24422653655637064, -0.6428101117938171, 0.6907033300946628, 1.135737945791173, -0.48793881337627476, -0.6182397471573898, 0.018592362952219936, 0.33844843882966424, 0.43221809270671696, 0.14323274147435133, -0.4159474160298366, -0.2818956440266699, 5.0262885836784745], [0.19321630400098563, -0.09342831263058729, 0.7309762215293232, 0.001685955607778507, -1.3258490035210218, 0.0035671118754853986, 0.48277284809517446, -0.10996134595694212, 0.027464887701267877, 0.7779891448592876, 0.15193743947272143, -0.33335527143854593, 0.007042475174605743, 4.5942106947356205], [0.301555224144631, 2.0680974103529213, -0.7096865509080992, 8.681063627145795, 8.078066878145199, -1.3136852310236917, 0.9828739923710962, -0.15750912033960246, -0.38227985913294427, -1.3569557967121988, -0.21970558181093244, 0.7822364968821999, -0.15702659257468765, 34.104850209559906], [-0.02037517629774036, 1.2964627390272598, -1.5600862305316239, 2.82805554484517, -2.4885175288366432, -0.04406357412521661, 0.4272682549680198, -0.10573058346039213, -0.9977453819023882, 0.7808681736821235, 0.40892942001756594, -0.2987126206138884, -0.17685062779054714, 14.242936023873844]]",515,29.552841587773596,5.582532771462238,51.87585027276322,504,169,59.83295919833474,5.09350990457181,49.33066311533344,167,178,34.76228977461395,5.76631420615186,51.45735611518014,177,10
0,1,1,"[-0.008243927321455928, 0.0056115494666502804, 0]",-,-,-,247.06350421905518,"[[3.707479902027017, 6.242396695661155, -0.9283042646223317, 2.00509377261412, 5.579667002999656, 4.009922144858447, -0.611772794204961, 0.36265810752918864, 21.02520582802475, 3.540176600480183, 1.27571230702013, -1.0016669167847918, -1.0455310784953362, 33.71508994220782], [-0.009651677995083317, 0.1791673787437795, -0.4609607400680065, 0.5600385529697324, 0.8704369981630671, -0.5277450202275739, -0.5620923984643464, 0.016602119430236546, 0.05705504547857448, 0.27948356525292944, 0.08515273946256434, -0.43329558446834354, -0.25672255533366295, 6.592772121782769], [-0.1925554190634351, -0.15993954627533735, 0.9020543706024963, -0.1296402899703287, -1.5203128454927055, -0.036436487130168234, 0.5313782889405789, -0.11137093148141351, -0.2560600686462593, 0.6278780466512268, 0.09434069007579865, -0.35033214781596933, 0.03148816849034606, 6.150793208436709], [-0.08433176068643507, 2.001667316342924, -0.5385106157969243, 8.549799695925323, 7.8832930764185765, -1.3537332735521013, 1.0316438912236137, -0.1589250065912932, -0.6657428558274866, -1.5071373379109876, -0.2772823129639541, 0.7653919166401182, -0.13255318285702308, 35.661514582746776], [-0.4061796777568152, 1.2299387891320521, -1.3890523867009372, 2.6967167296332577, -2.6830339817484146, -0.08405354248549693, 0.47598434220433505, -0.10715999222541475, -1.2813116627248573, 0.6307125400703035, 0.35134689148040055, -0.31561693754023795, -0.1524040089316105, 15.799550687971346]]",515,30.427215975084955,3.7183769518728926,30.506065675859343,467,169,60.50284665458654,3.2975674526543672,30.241708586101478,153,178,34.60760813523368,3.7997175467864257,29.067370674258477,159,10
0,1,2,"[-0.008243927321455928, 0.0056115494666502804, 0]",-,-,-,202.27312469482422,"[[3.4897850714093672, 5.931465788182465, -0.7794304188094263, 1.7734873993765914, 5.4594937467794, 3.864794182722015, -0.6303390699391931, 0.3637921456663124, 20.46710167284023, 3.360591718475811, 1.176255785960949, -0.8437471619723047, -1.0232924827772503, 35.33644741246157], [-0.22904060770737386, -0.13293293264899858, -0.32282545043294664, 0.3274516278971145, 0.821114261489039, -0.6733009252041454, -0.5876589706931812, 0.018273498215659156, -0.5033770733560792, 0.10249180662746546, -0.013783347429385006, -0.2748043486069738, -0.23520457819528942, 8.204034236507438], [-0.41036764756977406, -0.47077483909564893, 1.0508745314179435, -0.3616534951589078, -1.6405622479742468, -0.1817012391665526, 0.5133554086337083, -0.11022532495700506, -0.8143233022012858, 0.4483188493303222, -0.005084721608988114, -0.1923308303484541, 0.05374227914472635, 7.771979388432816], [-0.30227959905097984, 1.6907424656079255, -0.38965706493054425, 8.317761926049961, 7.763209099996662, -1.4990653515143637, 1.0134689088992588, -0.15773261282210033, -1.2239032101526468, -1.6867290759421478, -0.3766876100001463, 0.9235752612116476, -0.11030357788555613, 37.28303927175579], [-0.6239865032955625, 0.91916749771344, -1.2402300473871302, 2.464741806109676, -2.8031786042460176, -0.2293802998153, 0.4577811627338763, -0.10600413409114401, -1.8395339481330915, 0.4510762937841802, 0.25193113180676874, -0.157593614223533, -0.13017464735459205, 17.42082812769887]]",515,32.5543817985033,2.2755165172927474,17.784002378448463,420,169,62.572720341824834,1.9658890549030523,19.489872125338334,136,178,35.8384932572752,2.3352278953016263,15.964231175692705,142,10
0,1,5,"[-0.008243927321455928, 0.0056115494666502804, 0]",-,-,-,244.56009554862976,"[[3.262806155726271, 5.023590858069664, -1.5439475483197322, 0.9712944561972554, 5.074837866917075, 3.667557493531656, -0.6456642700600946, 0.4544230909038385, 18.666814157739285, 3.261156624823228, 1.1161519330536445, -0.7063052734922919, -0.923046172226285, 39.56009075497616], [-0.43879915557729293, -0.8411600358841825, -1.0605720723523075, -0.3424958807499794, 0.6233241535488511, -0.857565116040051, -0.5123969341998316, 0.10017964990312683, -2.200799472943308, -0.004847599718941281, -0.08092118153826548, -0.16004429377096796, -0.1533157221341653, 11.447729640949218], [-0.6372338829314282, -1.3778335908181205, 0.2863083105702656, -1.1642876881119884, -2.0240403990227316, -0.37870046284135567, 0.4987241636740329, -0.01932968645300249, -2.616337786651002, 0.3510481785025457, -0.06524568618107056, -0.05597386631279905, 0.15403392325847398, 11.993704325867501], [-0.5288502379798696, 0.7827720834805452, -1.1541123932313027, 7.5154102395818585, 7.378325986687517, -1.6958213976789749, 0.9981326038752802, -0.06685614867302643, -3.0257785728948363, -1.7843335326778242, -0.4369012441879037, 1.0596526862709537, -0.009962384183011385, 41.50709461087895], [-0.8508851863765429, 0.011892686869899947, -2.005196049536135, 1.662363270046909, -3.186520906752638, -0.42638614018336757, 0.44271625205562676, -0.015054710468275072, -3.6416035559407964, 0.3539299759645901, 0.1917725403865228, -0.021210841240531846, -0.029837819970894654, 21.643255549655763]]",515,37.90834055434215,0.5200759153007082,9.114204679800741,260,169,67.64738562090582,0.43756948665704287,12.529922253810144,77,178,39.37290954673637,0.5746390958117661,6.573639753859852,94,10
0,1,10,"[-0.008243927321455928, 0.0056115494666502804, 0]",-,-,-,289.08716225624084,"[[3.3499195758980322, 4.61172681946404, -2.0979456269864354, 0.08984986864309777, 4.488173372328886, 3.630203509794968, -0.6847347717851423, 0.3955401582447653, 17.819640548936277, 3.2003679711976374, 1.0546141225670058, -0.6987008158040412, -0.8454613082911598, 42.347998994223424], [-0.325154862018412, -0.8300073181348864, -1.3511873038741808, -0.8893496847258046, 0.48086830366638045, -0.8582262081617049, -0.48183200801569226, 0.03327106570452615, -2.924700288090208, 0.06801320292065131, -0.12101067403970896, -0.1949110375293172, -0.12338232786919, 12.027349207113295], [-0.5501450634327972, -1.790011442646495, -0.2663103827653451, -2.045301420216794, -2.6112252065171004, -0.4161960357560464, 0.45819230108424003, -0.07854429922957308, -3.4614175990104563, 0.28794996808747075, -0.12678148136663456, -0.04733174372282628, 0.23155862601530766, 14.783449307174761], [-0.4419324389206172, 0.37159757198170484, -1.7081562197256566, 6.634104690028277, 6.791772252415714, -1.7336121621029075, 0.9586224069953758, -0.12607111461244008, -3.8711355032008825, -1.847128935468015, -0.49840595280691136, 1.0684616758923504, 0.0675177657574071, 44.29446876873175], [-0.7637488738411541, -0.4001700355746498, -2.557874684801161, 0.7810072731282673, -3.773937784820359, -0.46379908177481205, 0.40279121584109684, -0.0743433375618506, -4.486630188188616, 0.2906964406795551, 0.13021891784538814, -0.012636330518087463, 0.04766717320523712, 24.432497346291083]]",515,40.58585476260916,0.11185737009087009,9.038771319342857,140,169,70.12570682696813,0.1267253099829519,12.804233589574496,46,178,40.76152818959513,0.16426461930970052,5.921178728976929,56,10
0,1,20,"[-0.008243927321455928, 0.0056115494666502804, 0]",-,-,-,309.8431830406189,"[[3.3616473766240396, 4.539172288293384, -2.7884527580388037, -0.20318888925490663, 3.911948901251601, 3.6245614188556377, -0.8141959151059717, 0.39130254049272556, 17.544644972371962, 3.1265143807767366, 1.0479025718482, -0.7391326815469904, -0.8070916571408845, 44.08847956686804], [-0.2848978197961444, -0.6499870929506423, -1.6975802840506937, -0.9894069357809604, 0.5744447734192609, -0.9081519328540465, -0.43826676765483724, 0.02519964394599512, -2.991622488583564, -0.08454864676895835, -0.18089334891981887, -0.20860527557553957, -0.11429566660110324, 12.062115467932289], [-0.538533291126661, -1.8634159864294366, -0.9587912390541888, -2.3378975174811205, -3.1905219504813287, -0.4220569544646397, 0.32921357941491597, -0.082752006754048, -3.736388748849718, 0.21386324987433286, -0.1334284304939799, -0.08737047822941595, 0.26996147715476604, 16.5257261771144], [-0.4306134322324654, 0.29838265856773827, -2.398792135511107, 6.341596350204933, 6.2159039250666, -1.7392957255577024, 0.8290810543430241, -0.13021576589808936, -4.145885935506723, -1.9208086606046635, -0.5050004032826397, 1.0286345265417296, 0.10587226606925314, 46.03485572035119], [-0.7521374215273134, -0.4734247756683513, -3.249148304969889, 0.4884188401807796, -4.353729952925552, -0.46956132499956516, 0.2739049624469659, -0.07854161721084818, -4.761618746464332, 0.21675831457174707, 0.12358360337267364, -0.05270120115127334, 0.08603833754865592, 26.17390256744077]]",515,41.67330348328507,0.03290182435772491,9.581523622376697,66,169,71.15717850033909,0.0474247174433772,13.629634787132382,23,178,41.309490205213045,0.06266912001217545,6.008479524135259,32,10
0,1,50,"[-0.008243927321455928, 0.0056115494666502804, 0]",-,-,-,310.2962911128998,"[[3.3777762399229143, 4.399224138454121, -3.339581219467707, -0.4376341996223893, 3.6144093875815915, 3.667664462051807, -0.8815026439525591, 0.3795217068178007, 17.481269252055633, 2.9976988314470736, 0.9989130318589778, -0.7439001233711052, -0.7703509633488586, 45.416646999064604], [-0.3177882266037218, -0.6489353958592029, -1.7402342314671049, -1.1594596412108564, 0.9329795731906444, -0.6260343778475606, -0.39083106939630213, -0.012685727593569961, -2.94226426214689, -0.08362454973634369, -0.20639133633919884, -0.23524696389305022, -0.1153900178133676, 12.036053897415252], [-0.5219684943006424, -2.002326316984257, -1.508423986632205, -2.570972879691118, -3.4827086621345504, -0.3785331427773997, 0.26237358208352624, -0.09449052905074118, -3.800238705467364, 0.08589870120228729, -0.1825315632895653, -0.09324351983483128, 0.3065741809833232, 17.846917846519865], [-0.41316375101669994, 0.15805758543082368, -2.950109265586971, 6.1074307848215925, 5.917403476875103, -1.6958950265456558, 0.762299872083976, -0.14217116028590898, -4.210209600073259, -2.0500790301067973, -0.5542367147688666, 1.0219536153440572, 0.14268090591787208, 47.363631336599695], [-0.735537746383501, -0.6125839023017369, -3.8009328044930664, 0.25515923730140144, -4.6452020434549395, -0.42626238718422105, 0.20662280071406056, -0.09031537171271861, -4.825603583868259, 0.08850230068221512, 0.07447482491188141, -0.058548831277507755, 0.12274025072066452, 27.497568584743973]]",515,42.42516787191868,0.0066733631650406754,10.11430615334556,23,169,71.65003342666208,0.01859722977353938,14.371018286983547,15,178,41.67995290437509,0.024962610599925168,6.173184475952508,18,10
0,1,100,"[-0.008243927321455928, 0.0056115494666502804, 0]",-,-,-,207.3515658378601,"[[3.364833702341, 4.249046812097658, -3.6332298365546163, -0.5976856928860336, 3.536798439920244, 3.6109422930104316, -0.9154067333533787, 0.3933926691035428, 17.46555389089966, 2.928631037887191, 1.0048929515916116, -0.7269562994911823, -0.7818854467618105, 46.06901659312298], [-0.3209390247370829, -0.7383392017628094, -1.6183446370308114, -1.255703544973361, 1.0883516416556867, -0.6194823400223594, -0.40242484759757463, -0.006920395238996196, -2.864083524736799, -0.1284582364580344, -0.2062857183058432, -0.23223052157298363, -0.14482289483420208, 11.96842171363008], [-0.526553233879835, -2.153820767000552, -1.7773838172816923, -2.7678292390137775, -3.4563863247685247, -0.43123928042260945, 0.17228314904262543, -0.07761914086425648, -3.8188959004755354, 0.017887592727544848, -0.177007585439965, -0.07627060882605614, 0.29049165023791823, 18.4896227438885], [-0.42241822796234735, 0.029478399075305566, -3.234662001348027, 5.937902789726112, 5.819318175163603, -1.7445688244905808, 0.7250484734954858, -0.13336253805154816, -4.236340758562293, -2.115663685075913, -0.5480887515553208, 1.0367073823485111, 0.13158483179854566, 48.02693765768374], [-0.7429733579344334, -0.762958155598526, -4.089439132383353, 0.06800649779047185, -4.602698197852978, -0.4785405541254465, 0.11854415950976897, -0.07456489484456721, -4.844684779821967, 0.021540065105707454, 0.08027311201985955, -0.04068038073996488, 0.1078348594739129, 28.148102617926813]]",515,42.78788251882577,0.0014516923238549384,10.390705496012862,7,169,71.93812138803422,0.010499597332288649,14.754459142395303,8,178,41.86809752089817,0.014368475164720002,6.2821518260114875,14,10
0,1,1000,"[-0.008243927321455928, 0.0056115494666502804, 0]",-,-,-,571.4207725524902,"[[3.3756789763220487, 3.9183301936392234, -3.929416161245722, -0.4349991009426726, 3.5292515861311213, 3.4762201147709892, -0.9482170220489158, 0.4556133953876389, 17.52501557035136, 2.7544132713748826, 1.0154217266255663, -0.7938368376789481, -0.7815821676013991, 46.581562905704786], [-0.3926730396870952, -0.7646623007830237, -1.5230066065523662, -1.2560715931731947, 0.4968194801750673, -0.9269731317290298, 0.3486507010529715, -0.015514929718031707, -3.28231682504294, 0.33724991387705056, -0.226045634891349, -0.18103819265410062, -0.10995743856173024, 11.775380670886543], [-0.44910868499664647, -2.225659784951871, -2.126643757471465, -2.7764280860298847, -3.565442103976414, -0.5790225179618748, 0.0372159787442576, -0.09675827562607961, -3.7397209996426, -0.15195486878050213, -0.1847938988361673, -0.1279371508981616, 0.28668657808244136, 19.17666037420343], [-0.3417048885828804, -0.12935120296916472, -3.4774625559150274, 6.0101612505168776, 5.84958732069116, -1.9313055133731187, 0.6291024523004868, -0.1331042993309433, -4.140664528078233, -2.2783896246616164, -0.5711919221016932, 0.9759862983078956, 0.13213746868298934, 48.57041205042092], [-0.6625866599446062, -0.8659197412361809, -4.38272017301735, 0.08478322172849276, -4.714359288429105, -0.6326666685634075, 0.009444033207967037, -0.09222226703385586, -4.75707171855692, -0.14568395418359392, 0.07076132896732505, -0.09626134370401504, 0.1028986514821208, 28.77784808807064]]",515,43.132366161714685,9.997002167860813e-08,10.652998518461336,0,169,72.33401122021168,0.005745771987215979,15.122026617163847,3,178,42.1136454630412,0.007630081677067836,6.370978916988894,9,10
0,1,10000,"[-0.008243927321455928, 0.0056115494666502804, 0]",-,-,-,345.4848301410675,"[[2.973393669039772, 3.452655116464343, 3.041769166599019, 0.3608209053964989, 0.7725499292345988, 3.602165423137808, 0.6710902565260841, 0.5546944690081711, 16.39950156548235, 4.184107514837452, 1.416557827849191, -0.7179886514534728, -0.903685923441468, 33.05620418956317], [-0.5593105812129364, -2.0079619372083224, 5.622043302406276, -1.5610725767879992, -4.408233374359243, -0.6595219450383527, -0.18979118304511564, 0.29085174855166396, -2.8788986776161596, 0.5739961861084915, 0.05909240356516078, -0.19002128952557806, -0.34633537832495964, 4.409930960892022], [-0.46986477773010626, -2.465101425523892, 7.301389355643929, -2.3642893239512546, -7.059280604055532, -0.6334574559978584, 0.7097808977405163, 0.20565177651975958, -3.294449816942594, 0.7101487891646704, 0.0012229148267957901, -0.42014889124138427, -0.10122889441192545, 3.6471426403589247], [-0.3772014154378782, -0.08412673763921386, 3.2313953849651136, 6.900775924452029, 3.2315015458171406, -2.2481898481410267, 2.0416151424540616, -0.12612156459738244, -3.8451809112979336, -1.6303020796746326, -0.45440285259416996, 0.3968763812509126, 0.07650350634314895, 35.38081204779273], [-0.7075906430453455, -1.0798398162838985, 4.100811752286113, 0.45629439653166004, -8.486669290610816, -0.7472951835665577, 1.0805275372208256, 0.12495626696524126, -4.325962210141869, 0.5228123032700225, 0.25494224675286886, -0.4601990954243319, -0.17895636421116473, 14.28099300992351]]",515,56.9856328580626,1.4952297744049344e-06,7.902374358151895,0,169,101.48355664175628,0.03146776359797207,11.19044805251974,4,178,58.45750383364241,0.014727938226883208,6.781216521507144,7,10
