,Number of Television,"Number of Car, Jeep, Van",Number of Stove with Oven/Gas Range,House Floor Area,House Age,Number of bedrooms,Electricity,Total Number of Family members,Total number of family members employed,Household Head Sex,Household Head Age,Agricultural Household indicator,Total Household Income,All_Food_Expenses,Going_Out_Expenses,Shopping_Expenses,Necessary_Expenses,Miscellaneous_Expenses,total
0,1,0,0,80,75,3,1,4,1,Female,49,0,48.0332,25.6555,0.3,0.4607,11.0949,4.1256,41.6367
1,1,0,0,42,15,2,1,3,2,Male,40,0,19.8235,13.6478,0.332,1.0362,9.279,1.065,25.36
2,0,0,0,35,12,1,0,6,3,Male,39,1,8.2785,14.369,0.4815,0.726,1.5579,0.695,17.8294
3,1,0,0,30,15,1,1,3,2,Male,52,0,10.7589,17.1181,0.676,0.139,2.4498,0.4262,20.8091
4,1,0,0,54,16,3,1,4,2,Male,65,0,18.9322,20.1967,0.744,0.462,4.0358,0.9472,26.3857
5,1,0,0,40,7,2,1,4,3,Male,46,0,15.2883,16.3138,0.018,0.217,2.8421,0.5994,19.9903
6,1,0,0,35,18,1,1,5,1,Male,45,0,19.8621,22.5411,0.812,0.793,3.901,1.2526,29.2997
7,1,0,0,35,48,2,1,5,0,Male,33,1,13.4961,20.5389,0.161,0.4085,4.8041,0.7062,26.6187
8,1,0,0,35,8,1,1,2,0,Female,17,0,17.1152,13.1064,1.055,0.278,2.557,0.701,17.6974
9,1,1,0,70,12,3,1,6,1,Male,53,0,62.5753,32.5369,1.562,0.774,9.3056,1.921,46.0995
10,1,0,0,40,9,2,1,4,1,Male,49,1,14.7005,17.4762,0.3858,0.652,3.1225,0.8634,22.4999
11,1,0,0,35,17,3,1,7,5,Male,35,0,25.313,24.2417,0.54,1.005,2.5231,1.5358,29.8456
12,0,0,0,35,5,1,0,7,2,Male,38,1,10.1111,19.691,0.489,0.614,1.4159,0.5148,22.7247
13,1,0,0,50,43,3,1,3,0,Male,53,1,12.8214,13.9391,0.03,0.2149,5.106,0.713,20.003
14,1,0,0,35,77,1,1,2,0,Male,75,1,9.1525,10.1667,0,0.0395,2.5217,0.2202,12.9481
15,1,0,0,40,35,1,1,4,0,Female,36,0,17.1742,15.4832,0.332,0.5045,2.566,0.631,19.5167
16,1,0,0,50,25,1,1,5,1,Male,67,1,9.5385,18.9565,0.2959,0.2015,2.0962,0.7834,22.3335
17,1,0,0,35,20,1,1,8,1,Male,57,0,14.2843,19.5242,0.2755,0.242,1.9869,1.3364,23.365
18,1,0,0,40,1,2,1,4,3,Female,63,1,8.817,14.8731,0.052,0.361,2.2407,0.5674,18.0942
19,1,0,0,25,7,0,1,5,1,Male,40,1,9.7018,16.5422,0.634,0.206,2.149,0.5268,20.058
20,1,0,0,30,6,1,1,4,2,Male,60,1,12.3015,16.1263,0.703,0.9105,3.741,0.5928,22.0736
21,1,0,0,35,36,1,1,4,2,Male,62,1,10.09,15.0868,0.548,0.281,2.3806,0.4924,18.7888
22,1,0,0,35,22,1,1,6,1,Male,45,0,15.3312,28.3416,1.231,0.754,3.1364,0.7826,34.2456
23,0,0,0,20,7,1,1,5,1,Male,41,0,9.6814,14.6532,0.27,0.4905,1.598,0.6492,17.6609
24,1,0,0,24,45,0,1,3,1,Male,43,1,9.1785,11.506,0.664,0.5216,3.3055,0.5468,16.5439
25,1,0,0,35,16,1,1,3,1,Male,45,1,8.36,12.3245,0.5085,0.338,2.1788,0.593,15.9428
26,0,0,0,25,1,1,1,2,0,Male,61,0,8.433,9.9367,0,0.256,1.7413,0.3384,12.2724
27,1,0,0,32,7,2,1,3,0,Male,45,0,16.483,16.179,0.039,0.392,4.86,0.6506,22.1206
28,0,0,0,30,13,1,0,6,2,Female,58,0,8.7612,19.9849,0.5377,0.414,1.8544,0.6218,23.4128
29,0,0,0,35,1,1,1,6,0,Male,34,1,9.6862,17.4152,0.829,0.792,3.072,0.7304,22.8386
30,0,0,0,30,14,1,0,2,0,Male,67,1,6.5929,12.8029,0,0.246,1.1337,0.249,14.4316
31,0,0,0,25,3,0,0,6,2,Male,34,0,11.4998,18.7803,0.5028,0.5405,1.712,0.8248,22.3604
32,0,0,0,36,13,1,1,2,0,Male,25,0,21.772,17.7339,0.091,0.337,1.6415,0.7072,20.5106
33,0,0,0,30,11,1,1,4,1,Male,29,0,9.865,19.0955,0.104,0.3835,1.8512,0.5712,22.0054
34,1,0,0,30,9,0,1,5,2,Male,53,0,16.9755,23.0762,1.467,0.599,4.534,0.8836,30.5598
35,1,0,0,30,16,1,1,5,4,Female,83,0,14.3785,13.3476,0.159,0.464,2.7232,1.6864,18.3802
36,0,0,0,36,23,2,1,2,0,Female,90,0,10.5805,10.291,0.341,0.173,2.6789,0.5982,14.0821
37,1,0,0,36,18,2,1,6,3,Male,52,1,12.9066,24.5893,0.8816,0.579,4.248,0.8132,31.1111
38,1,0,0,40,43,1,1,4,2,Male,78,0,15.471,19.3617,1.0378,0.4559,2.8706,0.8826,24.6086
39,1,0,0,30,28,0,1,6,2,Female,79,0,20.3675,21.7065,1.8052,0.68,4.053,0.8382,29.0829
40,1,0,0,35,25,2,1,4,1,Female,60,1,18.6475,19.5013,1.833,0.365,3.816,0.8392,26.3545
41,0,0,0,35,17,1,1,4,2,Male,63,1,10.4457,14.5104,1.1416,0.644,4.0196,0.9257,21.2413
42,0,0,0,35,21,1,1,6,2,Male,65,1,11.9492,17.664,0.2187,0.7615,1.6376,0.9408,21.2226
