Number of Television,Number of Car,Number of Stove with Oven/Gas Range,House Floor Area,House Age,Number of bedrooms,Electricity,Total Number of Family members,Total number of family members employed,Household Head Sex,Household Head Age,Agricultural Household indicator,Total Household Income,Total Food Expenditure,Medical Care Expenditure,Education Expenditure,Housing and water Expenditure,Miscellaneous Goods and Services Expenditure
1,0,0,80,75,3,1,4,1,Female,49,0,48.0332,11.7848,0.3457,3.62,6.3636,3.4056
1,0,0,42,15,2,1,3,2,Male,40,0,19.8235,6.7766,0.352,2.93,4.137,0.915
0,0,0,35,12,1,0,6,3,Male,39,1,8.2785,6.1609,0.007,0.0425,1.434,0.645
1,0,0,30,15,1,1,3,2,Male,52,0,10.7589,7.8189,0.006,0.03,1.6638,0.3762
1,0,0,54,16,3,1,4,2,Male,65,0,18.9322,9.4625,0.014,0,3.1122,0.8472
1,0,0,40,7,2,1,4,3,Male,46,0,15.2883,7.3326,0.0095,0,2.2782,0.5394
1,0,0,35,18,1,1,5,1,Male,45,0,19.8621,10.4644,0.034,0,2.4126,0.6126
1,0,0,35,48,2,1,5,0,Male,33,1,13.4961,9.5644,0.0075,0.005,4.0776,0.5562
1,0,0,35,8,1,1,2,0,Female,17,0,17.1152,6.7348,0.02,0.8,0.837,0.651
1,1,0,70,12,3,1,6,1,Male,53,0,62.5753,15.8721,0.1786,1.318,6.573,1.521
1,0,0,40,9,2,1,4,1,Male,49,1,14.7005,7.953,0.0049,0.075,2.5668,0.7134
1,0,0,35,17,3,1,7,5,Male,35,0,25.313,11.125,0.0123,0.025,1.6398,0.9858
0,0,0,35,5,1,0,7,2,Male,38,1,10.1111,8.8523,0.0089,0.096,1.113,0.5148
1,0,0,50,43,3,1,3,0,Male,53,1,12.8214,6.2262,0.0078,0,3.5154,0.513
1,0,0,35,77,1,1,2,0,Male,75,1,9.1525,4.5487,0.0077,0,2.418,0.2202
1,0,0,40,35,1,1,4,0,Female,36,0,17.1742,7.0892,0.0121,0.0375,2.292,0.531
1,0,0,50,25,1,1,5,1,Male,67,1,9.5385,8.379,0.008,0.047,1.8552,0.6834
1,0,0,35,20,1,1,8,1,Male,57,0,14.2843,8.537,0.0061,0.035,1.6698,1.1364
1,0,0,40,1,2,1,4,3,Female,63,1,8.817,6.4705,0.0147,0,2.01,0.4674
1,0,0,25,7,0,1,5,1,Male,40,1,9.7018,8.2534,0.1445,0.0215,1.155,0.3768
1,0,0,30,6,1,1,4,2,Male,60,1,12.3015,7.3459,0.061,0.806,1.941,0.4428
1,0,0,35,36,1,1,4,2,Male,62,1,10.09,6.783,0.005,0.08,1.4556,0.3924
1,0,0,35,22,1,1,6,1,Male,45,0,15.3312,16.486,0.0102,0.596,1.5222,0.5826
0,0,0,20,7,1,1,5,1,Male,41,0,9.6814,6.4696,0.057,0.02,1.299,0.3492
1,0,0,24,45,0,1,3,1,Male,43,1,9.1785,5.7112,0.016,0.0225,2.235,0.3468
1,0,0,35,16,1,1,3,1,Male,45,1,8.36,5.9819,0.014,0.015,1.5858,0.393
0,0,0,25,1,1,1,2,0,Male,61,0,8.433,4.5509,0.0085,0,1.6368,0.3384
1,0,0,32,7,2,1,3,0,Male,45,0,16.483,7.6151,0.042,0,3.81,0.4506
0,0,0,30,13,1,0,6,2,Female,58,0,8.7612,8.8484,0.0266,0.02,1.0638,0.4518
0,0,0,35,1,1,1,6,0,Male,34,1,9.6862,8.2647,0.018,0.3,1.23,0.5304
0,0,0,30,14,1,0,2,0,Male,67,1,6.5929,5.9898,0.0267,0,1.011,0.249
0,0,0,25,3,0,0,6,2,Male,34,0,11.4998,8.9896,0.025,0.076,1.311,0.5748
0,0,0,36,13,1,1,2,0,Male,25,0,21.772,8.4335,0.0215,0,1.242,0.4572
0,0,0,30,11,1,1,4,1,Male,29,0,9.865,9.0927,0.26,0,1.2852,0.4212
1,0,0,30,9,0,1,5,2,Male,53,0,16.9755,11.0405,0.015,1.48,1.503,0.6336
1,0,0,30,16,1,1,5,4,Female,83,0,14.3785,6.3907,0.016,0,1.1832,0.6864
0,0,0,36,23,2,1,2,0,Female,90,0,10.5805,5.0424,0.4229,0,1.791,0.5982
1,0,0,36,18,2,1,6,3,Male,52,1,12.9066,11.207,0.37,1.19,1.47,0.6132
1,0,0,40,43,1,1,4,2,Male,78,0,15.471,9.1008,0.012,0.038,1.3026,0.7182
1,0,0,30,28,0,1,6,2,Female,79,0,20.3675,10.8043,0.225,0.51,1.542,0.6882
1,0,0,35,25,2,1,4,1,Female,60,1,18.6475,9.6915,0.02,0.7,1.596,0.5892
0,0,0,35,17,1,1,4,2,Male,63,1,10.4457,7.3997,0.014,0.96,1.6476,0.7152
0,0,0,35,21,1,1,6,2,Male,65,1,11.9492,7.8073,0.1,0.01,1.2036,0.7908
1,0,0,80,6,2,1,4,1,Male,48,0,30.4598,9.8445,0.017,0,5.76,3.5406
1,0,0,200,20,8,1,2,2,Male,54,0,82.4148,9.9064,0.259,8.2,5.055,7.0746
1,0,0,40,16,2,1,5,1,Male,41,0,16.979,8.5448,0.0144,0.55,3.8904,1.0968
1,0,0,85,18,4,1,4,1,Male,40,0,13.2275,8.3528,0.0205,0.86,3.4596,1.5732
1,0,0,35,19,1,1,5,0,Male,29,0,55.9202,9.8107,0.0508,0.6,4.758,0.4686
1,0,0,32,19,2,1,2,1,Male,52,0,11.1495,5.9255,0.044,0,2.034,0.3132
1,0,0,209,19,4,1,6,2,Male,49,0,97.7025,13.1485,0.1315,1.7,9.4272,4.3458
1,0,0,200,25,2,1,5,1,Male,65,0,27.25,9.5406,0.6828,0.6,4.2942,2.0826
2,0,0,102,17,4,1,10,1,Male,75,0,67.7321,22.937,0.45,2.25,7.128,3.3114
1,1,0,238,15,4,1,2,0,Male,67,0,20.557,6.4202,0.096,0,8.6718,0.2478
1,0,0,100,25,5,1,3,0,Female,36,0,35.074,9.6601,0.015,0.55,4.7136,0.4686
1,0,0,96,15,3,1,3,2,Male,53,0,20.649,7.5031,0.612,0.515,5.3112,0.8778
0,0,0,36,9,1,1,3,2,Female,35,0,11.302,6.7121,0.016,0.02,2.1804,0.4116
2,0,0,316,16,3,1,7,2,Male,63,0,74.011,18.1926,0.106,3.49,8.4,6.0954
1,0,0,50,7,1,1,2,0,Female,69,0,28.1236,5.6971,0.18,0,2.772,0.39
0,0,0,63,35,4,1,3,1,Male,28,0,10.0806,6.016,0.005,0.028,1.9338,0.369
1,0,1,50,5,5,1,6,2,Male,56,0,41.019,8.8966,0.605,0.03,3.849,1.764
3,1,0,203,16,3,1,4,1,Male,66,0,73.021,17.2404,0.41,0,8.9982,4.8186
0,0,0,48,10,0,0,7,1,Male,37,0,11.3852,8.8017,0.012,0.04,1.5648,0.5394
1,0,0,40,11,2,1,2,0,Female,21,0,13.2645,5.1139,0.01,0.01,2.931,0.8028
1,0,0,100,12,3,1,8,2,Female,60,0,30.1423,12.7743,0.115,1.1957,3.3804,1.5066
1,0,0,54,8,2,1,4,1,Male,41,0,14.3839,6.5989,0.036,0,4.0074,0.5586
1,0,0,36,11,2,1,5,3,Male,45,0,30.124,10.2906,0,0.06,4.7028,2.7966
0,0,0,36,12,1,1,5,2,Male,37,0,11.741,8.7743,0,0.165,0.9816,0.7008
1,0,0,30,12,1,1,2,1,Male,51,0,15.2913,5.931,0.01,0,1.65,0.4206
