,fold,margin,knowledge,learning_rate,batch_size,epochs,validation_loss,runtime,num_iterations
0,1,"[0, 1]",0,0.5,5,10,2.875335693359375,4006.1322598457336,500
0,2,"[0, 1]",0,0.5,5,10,2.2577908039093018,3622.6132164001465,400
0,3,"[0, 1]",0,0.5,5,10,2.1605167388916016,3731.294156074524,400
0,4,"[0, 1]",0,0.5,5,10,1.6968040466308594,3437.5167593955994,400
0,5,"[0, 1]",0,0.5,5,10,2.124786615371704,3897.6525778770447,916
0,1,"[0, 1]",0,1,5,10,9.54505443572998,4225.044689178467,248
0,2,"[0, 1]",0,1,5,10,9.3850679397583,5341.970046281815,183
0,3,"[0, 1]",0,1,5,10,2.063352346420288,4689.679409742355,369
0,4,"[0, 1]",0,1,5,10,2.3554940223693848,4628.271119117737,346
0,5,"[0, 1]",0,1,5,10,2.228539228439331,4592.666050195694,505
0,3,"[0, 1]",0,2,5,10,1.9860774278640747,4209.709520816803,251
0,4,"[0, 1]",0,2,5,10,3.0472352504730225,5772.933522462845,115
0,5,"[0, 1]",0,2,5,10,2.3426032066345215,3954.274618625641,242
0,1,"[0, 1, 2]",0,0.5,5,10,1.6102455854415894,4041.775147676468,683
0,2,"[0, 1, 2]",0,0.5,5,10,3.3192520141601562,4298.5626838207245,500
0,3,"[0, 1, 2]",0,0.5,5,10,1.6713066101074219,4361.078403234482,670
0,4,"[0, 1, 2]",0,0.5,5,10,1.5179064273834229,4092.79145860672,683
0,5,"[0, 1, 2]",0,0.5,5,10,2.0740864276885986,3076.9192559719086,500
0,1,"[0, 1, 2]",0,1,5,10,1.908681869506836,4689.350608825684,551
0,2,"[0, 1, 2]",0,1,5,10,2.665748357772827,3063.1104135513306,400
0,3,"[0, 1, 2]",0,1,5,10,2.3161489963531494,3256.047422885895,400
0,4,"[0, 1, 2]",0,1,5,10,2.7512388229370117,4894.500333547592,600
0,5,"[0, 1, 2]",0,1,5,10,3.4820098876953125,4763.915814876556,590
0,1,"[0, 1, 2]",0,2,5,10,4.023453235626221,3729.5172686576843,400
0,2,"[0, 1, 2]",0,2,5,10,2.2945637702941895,4742.837960720062,400
0,3,"[0, 1, 2]",0,2,5,10,2.3986995220184326,3847.77915763855,400
0,4,"[0, 1, 2]",0,2,5,10,1.5822327136993408,3348.583904981613,400
