,fold,loss_type,margin/alpha,knowledge,learning_rate,batch_size,epochs,runtime,weights,violations_train_data,accuracy_train_corrected,accuracy_train_modified,violations_train_prediction,violations_val_data,accuracy_val_corrected,accuracy_val_modified,violations_val_prediction,violations_test_data,accuracy_test_corrected,accuracy_test_modified,violations_test_prediction,counter_examples_found
0,1,sbr,PP,0,-,-,-,446.0897753238678,"[[-3.4874566973758054, -0.31517674255676015, -1.805755356687064, -1.6469849382823678, -0.9000160471416085, -2.4495267395657554, -2.1442346776280394, 21.645626371549067, -10.373498064817973, -8.663709768876238, 9.319722707638107, -7.798463382826859, -7.613954312553948, 5.995590545182], [-7.948749566570054, -1.9366559577053524, 0.5419235821551313, 0.777208055084851, 0.21625523225990473, 3.1044543561142888, -2.2133399026433027, -5.2642706377662325, 5.910826526904056, 10.073389808721704, -6.538368680397402, -6.363522237561985, -6.96980527534143, 7.201076806012394], [-10.80453725750827, 1.4771820391175363, 5.850767078144324, 2.8126518580929902, 0.9104813268928444, -0.42343925180104725, -0.660910764903983, -7.807685308750886, -12.78039222268192, -11.591780407457936, -7.868129445445061, 20.367732545330885, 9.726205802630576, 5.148381056346268], [-7.277903168254617, -0.7781587716670897, -0.7752813485836215, 0.38859675849715275, -0.47304372431941627, -0.5114609778343986, 2.354264354418793, -8.326932451247455, 6.656534401445373, 5.642797280081116, 3.675650657621695, -7.921814519476687, -7.990618282081235, 6.985096847972271], [-7.838067179644585, 3.0813869950358446, -1.6222029990627098, -0.9694975608408885, 1.04024572060775, -1.3345701792659013, -1.2729827264310347, -6.983829341546955, 7.054064699011946, 4.422373779437696, -5.917225186190391, -7.855398369074735, 3.9215278734946906, 3.5191424717957105]]",42,0.7557894736842106,0.8290993071593533,0,9,0.8113207547169812,0.86,0,9,0.8176100628930818,0.8666666666666667,0,0
0,1,sbr,0,0,-,-,-,452.3336338996887,"[[-3.4874566973758054, -0.31517674255676015, -1.805755356687064, -1.6469849382823678, -0.9000160471416085, -2.4495267395657554, -2.1442346776280394, 21.645626371549067, -10.373498064817973, -8.663709768876238, 9.319722707638107, -7.798463382826859, -7.613954312553948, 5.995590545182], [-7.948749566570054, -1.9366559577053524, 0.5419235821551313, 0.777208055084851, 0.21625523225990473, 3.1044543561142888, -2.2133399026433027, -5.2642706377662325, 5.910826526904056, 10.073389808721704, -6.538368680397402, -6.363522237561985, -6.96980527534143, 7.201076806012394], [-10.80453725750827, 1.4771820391175363, 5.850767078144324, 2.8126518580929902, 0.9104813268928444, -0.42343925180104725, -0.660910764903983, -7.807685308750886, -12.78039222268192, -11.591780407457936, -7.868129445445061, 20.367732545330885, 9.726205802630576, 5.148381056346268], [-7.277903168254617, -0.7781587716670897, -0.7752813485836215, 0.38859675849715275, -0.47304372431941627, -0.5114609778343986, 2.354264354418793, -8.326932451247455, 6.656534401445373, 5.642797280081116, 3.675650657621695, -7.921814519476687, -7.990618282081235, 6.985096847972271], [-7.838067179644585, 3.0813869950358446, -1.6222029990627098, -0.9694975608408885, 1.04024572060775, -1.3345701792659013, -1.2729827264310347, -6.983829341546955, 7.054064699011946, 4.422373779437696, -5.917225186190391, -7.855398369074735, 3.9215278734946906, 3.5191424717957105]]",42,0.7536842105263157,0.8267898383371824,3,9,0.8050314465408805,0.8533333333333334,2,9,0.8050314465408805,0.8533333333333334,2,10
0,1,sbr,1,0,-,-,-,452.8341164588928,"[[-3.6572522897022344, -0.3240029291125585, -1.7961579649890056, -1.6505759975465994, -0.8992123959076955, -2.4207534182781014, -2.1377895788974577, 22.32337123956664, -10.656687652082692, -8.971560604154103, 9.4815154266719, -8.084162660724216, -7.906139200534977, 6.156120582886138], [-8.196263767344545, -1.9336143439814737, 0.5447438747988753, 0.7788415765205673, 0.2196106379529042, 3.103016691027684, -2.2205118161576376, -5.481251547368501, 6.157662937151721, 10.320827839690796, -6.7973703245838495, -6.608400958321163, -7.236542930233644, 7.448300818292908], [-11.0206836293238, 1.4846293848361949, 5.8819481903586475, 2.7875001546171227, 0.9188599735043482, -0.4326000293281553, -0.6743634626276028, -8.08425150045896, -13.0511283574179, -11.906424838670265, -8.166057426500378, 20.889672937116508, 9.934308248828586, 5.362923818454467], [-7.36912456015367, -0.7476682456523793, -0.751277541027297, 0.37207313776244477, -0.4438130286445438, -0.47333882924365167, 2.210831279258703, -8.752418564472212, 6.776896225293702, 5.7605503429107925, 3.8290050729930263, -8.433757921388597, -8.538720410452743, 7.9889184510409255], [-8.020782225993415, 3.0823165981744416, -1.6131097732931219, -0.9730367523766493, 1.0419278869400743, -1.332568927836633, -1.2678543605705266, -7.294224635872112, 7.228866448874952, 4.597340670908071, -6.158656652319382, -8.182995107818476, 4.0945923896523855, 3.6939197540428226]]",42,0.7557894736842106,0.8290993071593533,0,9,0.8113207547169812,0.86,1,9,0.8176100628930818,0.8666666666666667,0,10
0,1,sbr,2,0,-,-,-,475.6149694919586,"[[-3.4993220255908155, -0.32431715096763697, -1.7969685301707583, -1.6519443062117567, -0.8986344293679106, -2.421591278702534, -2.1399131611643782, 21.748084271906848, -10.339235242992498, -8.7112036123742, 9.325551679123164, -7.850330065162942, -7.6707640784336935, 6.0004496991363325], [-8.002771077710337, -1.9318660849957239, 0.5425638373535676, 0.7763885210846782, 0.2173945917314742, 3.099227294009394, -2.2189989723416974, -5.315991641059111, 5.965931732822784, 10.128555656186535, -6.590647799835289, -6.416591610370828, -7.027870183430417, 7.256535364988489], [-10.765851491689919, 1.4853644321349397, 5.8941137350180925, 2.7686197947369795, 0.9138058680016095, -0.44212913245712576, -0.6814092655070165, -7.852017568424139, -12.586880759801533, -11.507775797865463, -7.942187184919554, 20.316996656430817, 9.686756499794162, 5.120203086511139], [-7.130558406546938, -0.7079701355635629, -0.7277835414910812, 0.36299030518469005, -0.4113868804449312, -0.43921567685868373, 2.0351505045099234, -8.508286654916205, 6.578733299724276, 5.560048046789769, 3.6677440965464165, -8.319262699251016, -8.469499233693787, 8.361841052717205], [-7.884521965463956, 3.081758987390392, -1.6127765993186718, -0.9784127688076879, 1.0414300354507908, -1.330841353150804, -1.2690860167788138, -7.050431610094367, 7.094345499616961, 4.461985893389998, -5.967844010770138, -7.939714183252771, 3.9593401659212253, 3.5596281394006972]]",42,0.7557894736842106,0.8290993071593533,0,9,0.8113207547169812,0.86,0,9,0.8176100628930818,0.8666666666666667,0,10
0,1,sbr,5,0,-,-,-,435.33629512786865,"[[-3.5847429539270963, -0.3249647840151603, -1.8006068758217173, -1.6524278079635284, -0.8959125117748111, -2.4229037585894084, -2.1414885775864594, 22.12050532105238, -10.477775475955717, -8.8812844439248, 9.411506132286236, -8.013968734308879, -7.833404853627319, 6.087759358045312], [-8.1344223269273, -1.934335682836661, 0.5457377927860617, 0.7795620356813866, 0.21598886080896193, 3.0991636870792223, -2.218015794283092, -5.4364929761897125, 6.098099924229863, 10.26101231704548, -6.727139926566643, -6.548592767230281, -7.169757299927249, 7.3881921075141435], [-10.86857386164263, 1.4838231628756113, 5.873185637369271, 2.789480940279038, 0.9187862047063937, -0.43043334612171147, -0.674806580687073, -8.046574801444686, -12.657069943809345, -11.665262091046952, -8.147912269259576, 20.648339090741572, 9.785228543467838, 5.213494808344793], [-7.077061203561921, -0.6633911906825508, -0.6956663975628834, 0.35196168465310507, -0.3725325805854832, -0.38610277246427566, 1.8241523353137858, -8.658071953144507, 6.570110026499429, 5.547626221106498, 3.702082801905981, -8.615978216776567, -8.859034160213898, 9.235986946881546], [-7.990518848697071, 3.083371350429623, -1.616167140290534, -0.9754975305758816, 1.0431854310525541, -1.3263614034417905, -1.2651520367666984, -7.224585687536391, 7.19439684609392, 4.561990866610983, -6.109099648397135, -8.132980670826607, 4.059912301898436, 3.659024631075673]]",42,0.7536842105263157,0.8267898383371824,0,9,0.8113207547169812,0.86,0,9,0.8176100628930818,0.8666666666666667,0,10
0,1,sbr,10,0,-,-,-,489.5262362957001,"[[-3.771136293498837, -0.3239423119874159, -1.798133947232042, -1.6506111701818322, -0.8997260018331625, -2.4164816458469063, -2.1403701686091843, 22.824308691366557, -10.818125240177393, -9.204834011866307, 9.597103428342765, -8.313231290659061, -8.12598841891236, 6.271112992741482], [-8.39821141585891, -1.9303524051895473, 0.5456499428341428, 0.7788853684487879, 0.21467529270288388, 3.1019588857626483, -2.2188224604488687, -5.662761598865493, 6.358660949107092, 10.521186507229924, -6.987929685006432, -6.8203819701118364, -7.454555549254153, 7.649314087073422], [-11.101799339568762, 1.4838819699196695, 5.8745944063392175, 2.7892983753746337, 0.9132281506337493, -0.42919673219282667, -0.6748349024289583, -8.36060963986863, -12.99923653063051, -12.03247171581503, -8.474110395905306, 21.294254206076317, 10.020448599582135, 5.448839072864399], [-7.120081414217857, -0.6439137397714219, -0.6796923195237524, 0.35306808368343107, -0.3541448318348956, -0.3591294629803875, 1.7346024398340651, -9.044863245608287, 6.627162038123377, 5.603305101960517, 3.777902622313876, -8.932472817031517, -9.135054990340617, 9.984644467609623], [-8.160573172751564, 3.0829016979327477, -1.6107739363492464, -0.9724214042125575, 1.0426047005026176, -1.3308129526508703, -1.2709740031564487, -7.530316741123797, 7.368213958256713, 4.736471725986013, -6.352137005319008, -8.45141636652722, 4.233058948818014, 3.833427060544901]]",42,0.7536842105263157,0.8267898383371824,0,9,0.8113207547169812,0.86,0,9,0.8176100628930818,0.8666666666666667,0,10
0,1,sbr,50,0,-,-,-,512.6528351306915,"[[-3.2098486761878795, -0.31684312277421295, -1.801842669961746, -1.6519387591317738, -0.8970204570079733, -2.446848284875895, -2.1451665425718143, 20.630507925912177, -9.703314473304196, -8.232625764072948, 9.041667476157887, -7.433176310690228, -7.235987458428479, 5.717617490928421], [-7.6626793313698895, -1.933827769024403, 0.5426176297882287, 0.7765543487276038, 0.21429652613021494, 3.104180232597494, -2.214682493325972, -5.027764484995001, 5.624297924252265, 9.786459795627682, -6.255764228194207, -6.065566680377627, -6.639632206092075, 6.914781916461945], [-10.34112445889567, 1.4822590874190644, 5.86810972025997, 2.791815791739954, 0.9120125163926489, -0.4336556953783957, -0.6683290985198403, -7.520525017554658, -11.653032727901078, -10.841968696444646, -7.613356326190552, 19.34091284774378, 9.261819646857504, 4.688960843783324], [-6.370322543788485, -0.6277618547075224, -0.6710106140114415, 0.3475149254518892, -0.34182817966846535, -0.33734524901774066, 1.651580240582596, -8.419483223221045, 5.898688284620886, 4.872664196398713, 3.0653149170956473, -8.261694055265274, -8.404716362300457, 10.872986083126724], [-7.6368468170878145, 3.0827499424095097, -1.6192394987218781, -0.973435472992055, 1.0418480136730788, -1.3307567186223965, -1.272842158960843, -6.6094492597138155, 6.849004669813584, 4.216856739629508, -5.635769550891321, -7.491828734421301, 3.71509271296246, 3.3142984353982303]]",42,0.7536842105263157,0.8267898383371824,0,9,0.8113207547169812,0.86,0,9,0.8176100628930818,0.8666666666666667,0,10
0,1,sbr,100,0,-,-,-,357.5766294002533,"[[-1.9882102493477407, -0.2521364979579453, -1.5308749899683136, -1.7838771095277022, -0.9003551642641882, -2.627729095137524, -2.18483701791162, 15.865079049986017, -7.4139414994656985, -6.087209822103947, 7.853955771825206, -5.452088599081403, -5.249456517364281, 4.486217184936123], [-5.99787247958578, -1.939251145810181, 0.5298112653950336, 0.7605505246346629, 0.23947555170415447, 3.069711835457938, -2.215874951709261, -3.586481063983014, 3.9732928580639655, 8.138211219126699, -4.528528545748558, -4.417409233909442, -4.857977073852113, 5.26288997609749], [-8.578183060480592, 1.4104274786351758, 5.92547659990036, 2.7457815134828714, 0.9075487916196796, -0.4473960281638851, -0.7227833363565607, -5.5341555839261485, -8.94794035813572, -8.209392378300048, -5.560139129026193, 15.054294618392785, 7.5848860593637575, 3.026457962213668], [-5.09293193374835, -0.6355289087567019, -0.6600820952775053, 0.34192346009224844, -0.3414546203498772, -0.3271991455319177, 1.6643346094004303, -6.416454370392224, 4.613095837510123, 3.586538409846625, 1.7735055863920857, -6.407201319332739, -6.538274337572456, 10.285989529845228], [-6.442729206288772, 3.0856365710136218, -1.6152157741616255, -0.9970418399260428, 1.0444126787037418, -1.3274613022493045, -1.289540079504406, -4.524397059645047, 5.662699560764091, 3.0284823832462675, -3.9594236336529844, -5.308324888708516, 2.5243528245290454, 2.131310677482885]]",42,0.7536842105263157,0.8267898383371824,0,9,0.8113207547169812,0.86,0,9,0.8176100628930818,0.8666666666666667,0,10
0,1,sl,PP,0,-,-,-,451.05879950523376,"[[-3.4874566973758054, -0.31517674255676015, -1.805755356687064, -1.6469849382823678, -0.9000160471416085, -2.4495267395657554, -2.1442346776280394, 21.645626371549067, -10.373498064817973, -8.663709768876238, 9.319722707638107, -7.798463382826859, -7.613954312553948, 5.995590545182], [-7.948749566570054, -1.9366559577053524, 0.5419235821551313, 0.777208055084851, 0.21625523225990473, 3.1044543561142888, -2.2133399026433027, -5.2642706377662325, 5.910826526904056, 10.073389808721704, -6.538368680397402, -6.363522237561985, -6.96980527534143, 7.201076806012394], [-10.80453725750827, 1.4771820391175363, 5.850767078144324, 2.8126518580929902, 0.9104813268928444, -0.42343925180104725, -0.660910764903983, -7.807685308750886, -12.78039222268192, -11.591780407457936, -7.868129445445061, 20.367732545330885, 9.726205802630576, 5.148381056346268], [-7.277903168254617, -0.7781587716670897, -0.7752813485836215, 0.38859675849715275, -0.47304372431941627, -0.5114609778343986, 2.354264354418793, -8.326932451247455, 6.656534401445373, 5.642797280081116, 3.675650657621695, -7.921814519476687, -7.990618282081235, 6.985096847972271], [-7.838067179644585, 3.0813869950358446, -1.6222029990627098, -0.9694975608408885, 1.04024572060775, -1.3345701792659013, -1.2729827264310347, -6.983829341546955, 7.054064699011946, 4.422373779437696, -5.917225186190391, -7.855398369074735, 3.9215278734946906, 3.5191424717957105]]",42,0.7557894736842106,0.8290993071593533,0,9,0.8113207547169812,0.86,0,9,0.8176100628930818,0.8666666666666667,0,0
0,1,sl,0,0,-,-,-,456.51022124290466,"[[-3.4874566973758054, -0.31517674255676015, -1.805755356687064, -1.6469849382823678, -0.9000160471416085, -2.4495267395657554, -2.1442346776280394, 21.645626371549067, -10.373498064817973, -8.663709768876238, 9.319722707638107, -7.798463382826859, -7.613954312553948, 5.995590545182], [-7.948749566570054, -1.9366559577053524, 0.5419235821551313, 0.777208055084851, 0.21625523225990473, 3.1044543561142888, -2.2133399026433027, -5.2642706377662325, 5.910826526904056, 10.073389808721704, -6.538368680397402, -6.363522237561985, -6.96980527534143, 7.201076806012394], [-10.80453725750827, 1.4771820391175363, 5.850767078144324, 2.8126518580929902, 0.9104813268928444, -0.42343925180104725, -0.660910764903983, -7.807685308750886, -12.78039222268192, -11.591780407457936, -7.868129445445061, 20.367732545330885, 9.726205802630576, 5.148381056346268], [-7.277903168254617, -0.7781587716670897, -0.7752813485836215, 0.38859675849715275, -0.47304372431941627, -0.5114609778343986, 2.354264354418793, -8.326932451247455, 6.656534401445373, 5.642797280081116, 3.675650657621695, -7.921814519476687, -7.990618282081235, 6.985096847972271], [-7.838067179644585, 3.0813869950358446, -1.6222029990627098, -0.9694975608408885, 1.04024572060775, -1.3345701792659013, -1.2729827264310347, -6.983829341546955, 7.054064699011946, 4.422373779437696, -5.917225186190391, -7.855398369074735, 3.9215278734946906, 3.5191424717957105]]",42,0.7536842105263157,0.8267898383371824,3,9,0.8050314465408805,0.8533333333333334,2,9,0.8050314465408805,0.8533333333333334,2,10
