,fold,margin,knowledge,learning_rate,batch_size,epochs,validation_loss,runtime,num_iterations
0,1,"[0, 1]",0,0.5,5,10,3.6121435165405273,4924.731508016586,400
0,2,"[0, 1]",0,0.5,5,10,2.034888982772827,4876.651397228241,400
0,3,"[0, 1]",0,0.5,5,10,1.7655562162399292,4628.054583787918,222
0,4,"[0, 1]",0,0.5,5,10,1.9778987169265747,8763.999038696289,293
0,5,"[0, 1]",0,0.5,5,10,4.387199878692627,5314.754232406616,400
0,1,"[0, 1]",0,1,5,10,1.671762466430664,8340.247367620468,594
0,2,"[0, 1]",0,1,5,10,1.7541313171386719,7605.551676988602,623
0,3,"[0, 1]",0,1,5,10,3.157317876815796,4718.82023191452,400
0,4,"[0, 1]",0,1,5,10,4.14380407333374,3627.4905638694763,190
0,5,"[0, 1]",0,1,5,10,3.581568479537964,5662.06164264679,179
0,1,"[0, 1]",0,2,5,10,2.508604049682617,7866.324280023575,432
0,2,"[0, 1]",0,2,5,10,3.1201705932617188,2687.740325689316,145
0,3,"[0, 1]",0,2,5,10,1.9433000087738037,8081.406576156616,555
0,4,"[0, 1]",0,2,5,10,3.066044569015503,8783.404316425323,203
0,2,"[0, 1, 2]",0,0.5,5,10,2.5052168369293213,6694.528578281403,652
0,3,"[0, 1, 2]",0,0.5,5,10,5.089366436004639,4903.326786279678,400
0,4,"[0, 1, 2]",0,0.5,5,10,8.145594596862793,4190.336595773697,198
0,5,"[0, 1, 2]",0,0.5,5,10,3.371159076690674,4122.011398077011,500
0,1,"[0, 1, 2]",0,1,5,10,4.948622703552246,4991.4384388923645,400
0,2,"[0, 1, 2]",0,1,5,10,2.2211856842041016,7182.429198741913,500
0,3,"[0, 1, 2]",0,1,5,10,3.260071277618408,8358.707597970963,579
0,4,"[0, 1, 2]",0,1,5,10,7.142715930938721,5386.369561910629,400
0,5,"[0, 1, 2]",0,1,5,10,3.0270490646362305,8908.717995166779,579
0,1,"[0, 1, 2]",0,2,5,10,3.9719793796539307,5519.995289325714,400
0,2,"[0, 1, 2]",0,2,5,10,2.7325427532196045,6849.897700071335,400
0,3,"[0, 1, 2]",0,2,5,10,3.2184653282165527,6139.5193865299225,400
0,4,"[0, 1, 2]",0,2,5,10,3.7813234329223633,7038.895422935486,220
0,5,"[0, 1, 2]",0,2,5,10,3.378692388534546,5656.30610370636,400
0,1,"[1, 2]",0,0.5,5,10,5.00392484664917,4820.950862169266,600
0,2,"[1, 2]",0,0.5,5,10,2.9248785972595215,5989.191456794739,600
0,3,"[1, 2]",0,0.5,5,10,1.783220648765564,4267.234047412872,500
0,4,"[1, 2]",0,0.5,5,10,2.750170946121216,3399.7819867134094,400
0,5,"[1, 2]",0,0.5,5,10,2.1532647609710693,4369.493379116058,400
0,1,"[1, 2]",0,1,5,10,2.2359461784362793,5908.491263389587,400
0,2,"[1, 2]",0,1,5,10,5.2854390144348145,7092.44325876236,594
0,3,"[1, 2]",0,1,5,10,1.7657415866851807,7595.269690990448,555
0,4,"[1, 2]",0,1,5,10,2.6772103309631348,4372.626185894012,230
0,5,"[1, 2]",0,1,5,10,2.506781816482544,6433.923020839691,400
0,1,"[1, 2]",0,2,5,10,1.6538296937942505,7994.900134563446,581
0,2,"[1, 2]",0,2,5,10,2.5435266494750977,5414.0694851875305,400
0,3,"[1, 2]",0,2,5,10,2.2973361015319824,7984.4988322258,590
0,4,"[1, 2]",0,2,5,10,1.9861557483673096,7873.392114400864,605
0,5,"[1, 2]",0,2,5,10,2.304643392562866,5350.786513328552,400
0,1,"[0, 1]",0,0.5,5,10,5.082523822784424,7069.716720342636,563
0,2,"[0, 1]",0,0.5,5,10,1.9245339632034302,7243.809019088745,616
0,3,"[0, 1]",0,0.5,5,10,2.0732364654541016,5382.361430168152,400
0,4,"[0, 1]",0,0.5,5,10,3.6964027881622314,6535.783815383911,400
0,5,"[0, 1]",0,0.5,5,10,3.1171979904174805,8167.010147809982,353
0,1,"[0, 1]",0,1,5,10,2.6595592498779297,3237.6640305519104,116
0,2,"[0, 1]",0,1,5,10,1.7342205047607422,7146.350587129593,416
0,4,"[0, 1]",0,1,5,10,5.064770698547363,7260.445942163467,447
0,5,"[0, 1]",0,1,5,10,2.3053808212280273,5773.692058563232,399
0,1,"[0, 1]",0,2,5,10,1.942536473274231,7491.377739906311,293
0,2,"[0, 1]",0,2,5,10,2.564444065093994,8274.777795553207,440
0,4,"[0, 1]",0,2,5,10,1.9066071510314941,7985.7343719005585,400
0,5,"[0, 1]",0,2,5,10,1.775773048400879,7527.707466840744,339
0,1,"[0, 1, 2]",0,0.5,5,10,1.9217329025268555,4396.271202325821,400
0,2,"[0, 1, 2]",0,0.5,5,10,1.9631083011627197,6373.8961589336395,500
0,3,"[0, 1, 2]",0,0.5,5,10,2.3821499347686768,7273.300885677338,600
