,fold,loss_type,margin/alpha,knowledge,learning_rate,batch_size,epochs,runtime,weights,violations_train_data,accuracy_train_corrected,violations_train_prediction,violations_val_data,accuracy_val_corrected,violations_val_prediction,violations_test_data,accuracy_test_corrected,violations_test_prediction,counter_examples_found
0,1,sbr,PP,0,-,-,-,517.876617193222,"[[-7.425098619009978, 2.448930288519728, 1.4426611998620058, 2.978427638865371, 3.3942649398269995, -2.398378904011442, -3.633531135322106, 18.37787619066366, -9.897108913825088, -7.745748026576319, 10.692338987726684, -8.21442032869558, -8.439284641354954, 3.8008040963069503], [-4.617889893340585, -3.8648991200132383, 0.829369971420938, -0.10663113852100525, -0.2815071188461153, 1.2621795094355992, -2.961971165157673, -4.112214400387359, 5.1689078786141005, 9.803981548145611, -6.7700044555132015, -4.685333331302974, -5.397567115259606, 7.373439532692847], [-13.777926779924941, 9.773810471954045, 1.4351766745126713, 0.9761544315577895, -0.2311569031588806, -1.9808332378134388, 1.556220521501993, -7.57095538971552, -11.012639565086365, -9.80476267394117, -6.091880212947353, 17.09899334108607, 8.048210866244045, 1.55503796271688], [-7.071400893008908, -0.6519643102535182, 0.8712373463352445, -1.1898725102567056, -1.4533493477230426, 0.20252710819169073, 3.182690865507439, -6.2596157353877, 5.450766075740584, 4.993249573928135, 2.607862762604697, -7.024150768476343, -7.256828362053834, 6.416001458551232], [-5.469743749526189, 1.472601879260299, -3.181236383144744, 0.03349401792369449, 0.8252017433705225, -0.828188972110514, -1.7002252833263, -5.469375079822437, 6.821079228561465, 3.5541212437467196, -5.6792414564029245, -5.802364732674066, 3.7488460470466065, 3.3566125916784024]]",40,0.8631578947368421,0,12,0.8490566037735849,0,9,0.8238993710691824,0,0
0,1,sbr,0,0,-,-,-,499.09002804756165,"[[-7.425098619009978, 2.448930288519728, 1.4426611998620058, 2.978427638865371, 3.3942649398269995, -2.398378904011442, -3.633531135322106, 18.37787619066366, -9.897108913825088, -7.745748026576319, 10.692338987726684, -8.21442032869558, -8.439284641354954, 3.8008040963069503], [-4.617889893340585, -3.8648991200132383, 0.829369971420938, -0.10663113852100525, -0.2815071188461153, 1.2621795094355992, -2.961971165157673, -4.112214400387359, 5.1689078786141005, 9.803981548145611, -6.7700044555132015, -4.685333331302974, -5.397567115259606, 7.373439532692847], [-13.777926779924941, 9.773810471954045, 1.4351766745126713, 0.9761544315577895, -0.2311569031588806, -1.9808332378134388, 1.556220521501993, -7.57095538971552, -11.012639565086365, -9.80476267394117, -6.091880212947353, 17.09899334108607, 8.048210866244045, 1.55503796271688], [-7.071400893008908, -0.6519643102535182, 0.8712373463352445, -1.1898725102567056, -1.4533493477230426, 0.20252710819169073, 3.182690865507439, -6.2596157353877, 5.450766075740584, 4.993249573928135, 2.607862762604697, -7.024150768476343, -7.256828362053834, 6.416001458551232], [-5.469743749526189, 1.472601879260299, -3.181236383144744, 0.03349401792369449, 0.8252017433705225, -0.828188972110514, -1.7002252833263, -5.469375079822437, 6.821079228561465, 3.5541212437467196, -5.6792414564029245, -5.802364732674066, 3.7488460470466065, 3.3566125916784024]]",40,0.8547368421052631,9,12,0.8364779874213837,3,9,0.7987421383647799,4,10
0,1,sbr,1,0,-,-,-,522.5352430343628,"[[-8.292359148469583, 2.4452387527106545, 1.4457211093827997, 2.9782517774184107, 3.3975514161471265, -2.4069816792688723, -3.6253338301346085, 20.262670462655866, -10.97957943938418, -8.73364089826444, 11.5525199810259, -9.398557298187209, -9.661951476226964, 4.666204926016748], [-5.274846875116402, -3.874629452864316, 0.8283571012383639, -0.11915264968419662, -0.2889104701102469, 1.2517298309036056, -2.9667914781433193, -4.701367738103991, 5.846157957504556, 10.482513655553634, -7.625494179134246, -5.275826598188352, -6.053932224101057, 8.053162610907979], [-14.640869563731268, 9.796615595151742, 1.4429105178314852, 0.9431938936335503, -0.21805949382479628, -2.0169501940146612, 1.5102508923322127, -8.855238870957653, -12.110005901829059, -10.956921722427621, -6.748954741995534, 18.660939897379894, 8.925857028874937, 2.4438989975990943], [-7.488292473807524, -0.6394578740155138, 0.774286332015649, -1.084824815059366, -1.3523120829341264, 0.22905828106009488, 3.01199373588151, -7.2432045737305115, 5.91822337160655, 5.465988585561225, 3.074717548446531, -8.083603494790147, -8.357743691581733, 7.737767622495779], [-5.958870446966375, 1.4666128328085315, -3.190078652577145, 0.04132664844855023, 0.8248235406842591, -0.8183036505523267, -1.7013239650939094, -6.34178039935122, 7.313261905486087, 4.046394760909652, -6.464758268356302, -6.602461669520282, 4.243023316184169, 3.8489831453421868]]",40,0.8610526315789474,3,12,0.8490566037735849,0,9,0.8176100628930818,1,10
0,1,sbr,2,0,-,-,-,551.7948970794678,"[[-8.499454573954475, 2.448259958209653, 1.4604152495589275, 2.989060309430649, 3.4013613869686172, -2.4285134969409583, -3.6326394133687567, 20.70474764449783, -11.23273148936996, -8.970021136773841, 11.760746528882878, -9.682891361646455, -9.958776408931628, 4.8732948656030475], [-5.447712245054216, -3.872222879823426, 0.8354583678275537, -0.1132942022987452, -0.286485866325596, 1.260522568817962, -2.9601343767473716, -4.849322531803304, 6.005712429526128, 10.640978824074383, -7.832768494882515, -5.417704802814522, -6.213505169368674, 8.211182437338117], [-14.814070931003094, 9.79530782990566, 1.4624970038110938, 0.9326855009396288, -0.2297584634267506, -2.0488971421569375, 1.5026908212522845, -9.193166862647246, -12.343893485552837, -11.255047902816864, -6.900356139265053, 19.113484943104407, 9.116694717692464, 2.6384835516705882], [-7.502198563314824, -0.614222712969295, 0.6860450976462196, -0.982217049388325, -1.242776601662111, 0.25145246755372774, 2.7973336820054726, -7.491305067310688, 5.995178047619767, 5.547430620362674, 3.1568525277981356, -8.373475635721972, -8.702751001390627, 8.361855091082008], [-6.085015767196242, 1.4688030650857393, -3.165511597919883, 0.013281415561438976, 0.8244229880631705, -0.8305526331629876, -1.699988998571423, -6.563907651877451, 7.439060975998816, 4.172011495760051, -6.668826341469453, -6.813794955849341, 4.363965502446779, 3.977212084339865]]",40,0.8631578947368421,1,12,0.8490566037735849,0,9,0.8176100628930818,1,10
0,1,sbr,5,0,-,-,-,543.6441967487335,"[[-9.320420103949154, 2.4375427757638195, 1.4512658674128935, 2.9921258855636834, 3.398365261854942, -2.391248692753817, -3.619734981827237, 22.429731001593446, -12.231938482199988, -9.88150067482131, 12.570971700157532, -10.782776876485702, -11.103792306689215, 5.684856866216455], [-6.059778989248686, -3.8685530368593812, 0.8325008184343814, -0.12158540940480045, -0.28426986069158994, 1.2572133052942067, -2.9647014994082435, -5.388250810632538, 6.620394750057398, 11.255150017095602, -8.608422618965301, -5.950315408209785, -6.806924122360241, 8.826602907342936], [-15.646781060405289, 9.784924056521456, 1.4456092068840918, 0.9413295137199131, -0.22312444271278908, -2.011244125672814, 1.5075044516189637, -10.339710365226225, -13.412607505055409, -12.369940619669595, -7.594770173036709, 20.673161749707322, 9.941271143924107, 3.4627031620428212], [-7.784652719106657, -0.5812238838132564, 0.5527071761767244, -0.8358750568457998, -1.1122244074650824, 0.2912442819637603, 2.499418629128495, -8.291066560794063, 6.375826866478893, 5.932667306805785, 3.537355117408711, -9.248388880004471, -9.680979541203243, 9.59938859329804], [-6.546084202226436, 1.469345476840276, -3.1817141650513827, 0.026788534026224442, 0.8244831339234474, -0.8265715024854627, -1.7035611023408588, -7.36685268691285, 7.903111238636299, 4.635777305451608, -7.4144201763952164, -7.566999397324308, 4.830559316229768, 4.439785381953369]]",40,0.8568421052631578,0,12,0.8490566037735849,0,9,0.8176100628930818,1,10
0,1,sbr,10,0,-,-,-,532.7163424491882,"[[-8.267992913188557, 2.444851102933976, 1.4604725821381108, 2.990950940602899, 3.4026720329388347, -2.4283705308715464, -3.6310471306790526, 20.105990264541195, -10.89313930940342, -8.686632227140773, 11.52743600111374, -9.342905155692707, -9.62069084906253, 4.642380887168206], [-5.262580746063617, -3.872167950477064, 0.8332779014639731, -0.11594291717294647, -0.28700896721140806, 1.2615422682947266, -2.9616073683805584, -4.692663993449715, 5.822392616983234, 10.457477587339842, -7.593553822387687, -5.250676595458864, -6.0280027863232455, 8.028291730384469], [-14.553616444994185, 9.795549792440127, 1.461646613597455, 0.9337203053680393, -0.2269721349657198, -2.0416574330188886, 1.5018051262412888, -8.846039691411113, -12.006514197786698, -11.025159111986076, -6.787523876339766, 18.886491122443882, 8.852303862269105, 2.3742032704657703], [-7.009498273817586, -0.5627850178317059, 0.49163746908519507, -0.7647865222994019, -1.0537301601459037, 0.3105928619796287, 2.3600065302458404, -7.3964575056113695, 5.643955271476168, 5.202803087275335, 2.80889253884086, -8.228945400382669, -8.593720326977595, 9.548336005986247], [-5.9658273096221395, 1.4672380078269869, -3.1702756213589374, 0.016108459424939662, 0.8239598879940293, -0.8277594286022251, -1.7012840654086736, -6.341675969674845, 7.322054624795845, 4.054816209709465, -6.495147023355876, -6.61949140947811, 4.247777935921409, 3.860193265094207]]",40,0.8589473684210527,0,12,0.8490566037735849,0,9,0.8238993710691824,0,10
0,1,sbr,50,0,-,-,-,586.5107889175415,"[[-7.91396621721249, 2.445117909156606, 1.4203149553730419, 3.0090746381781175, 3.4030651897637467, -2.391892552979104, -3.6308777604638887, 19.286612921252875, -10.417693533013471, -8.279581999752242, 11.173931837009421, -8.838012428807257, -9.09521401894241, 4.281967448550816], [-5.014713437543191, -3.866172642632739, 0.8276898417606997, -0.1169631372870075, -0.2819111615554765, 1.2577286823038225, -2.9659619732021856, -4.4629043654574625, 5.573731216076048, 10.20840470055161, -7.305016412716316, -5.032052362882347, -5.769474178569574, 7.779362955773592], [-14.205932974962632, 9.766397065034049, 1.4690545702449385, 0.9209091258536904, -0.2242000089885937, -2.0097243204149913, 1.521368241738655, -8.309386005346687, -11.371605826175609, -10.495646374746283, -6.559766338057508, 18.028430408054042, 8.498920651482436, 2.027366512616656], [-6.585400669633492, -0.5520853033124934, 0.44564119134544905, -0.716459794277688, -1.0064630021016803, 0.32538783988932424, 2.2390036093403953, -7.406036268225434, 5.264361689449984, 4.824442772326328, 2.427120628728325, -8.092282650174118, -8.3626214883434, 10.776846401005105], [-5.763803059721269, 1.468857851587769, -3.18257227032654, 0.03656125116096551, 0.8240672419583622, -0.8223656741162788, -1.7025732427358387, -5.9764086094751505, 7.1177108918780325, 3.850904206900861, -6.188281119967296, -6.259626081694575, 4.045599383769151, 3.653673096985388]]",40,0.8547368421052631,0,12,0.8490566037735849,0,9,0.8238993710691824,0,10
0,1,sbr,100,0,-,-,-,384.9938819408417,"[[-6.069222897259923, 2.4928886927212046, 1.5947986848418123, 2.952389662701171, 3.421423932674696, -2.589683185626056, -3.671041778819624, 15.371882970574921, -8.104678692798352, -6.227394703615371, 9.346540028669459, -6.360995368874181, -6.536717414614441, 2.44455691236497], [-3.6451781084031554, -3.8638615193071884, 0.8575188077621375, -0.10229293120383814, -0.29275953754518264, 1.2639719008200865, -2.9523367550096378, -3.261812086509358, 4.1862458660376936, 8.819305286917977, -5.558821916484363, -3.8063735826069665, -4.40753061395481, 6.388413206929395], [-12.351228405641356, 9.849803126441047, 1.358148494029436, 0.9956535120617769, -0.23668395801240316, -2.094376257252569, 1.5014174700521512, -5.746870046250957, -8.83549289151084, -8.06165970926604, -5.094688881329585, 14.55303113990319, 6.671591112230051, 0.16280651598692406], [-5.438616283487523, -0.5637923482449491, 0.4467634329392029, -0.7237129063276942, -1.0078060616959117, 0.3397592018404991, 2.2264602198755212, -5.794081039362938, 4.130604882452718, 3.689753303759696, 1.2825057979757442, -6.4457494337485395, -6.639299579181652, 10.344264133239198], [-4.737314383599724, 1.4801461608671478, -3.2141640582976603, 0.029926940672635512, 0.8310522429125521, -0.8121079256584104, -1.7022196773545237, -4.178577172689771, 6.084865035271924, 2.815592768875623, -4.527995342112135, -4.565605807278667, 3.015073505172958, 2.6199614226440455]]",40,0.8547368421052631,0,12,0.8490566037735849,0,9,0.8238993710691824,0,10
0,1,sl,PP,0,-,-,-,504.9057836532593,"[[-7.425098619009978, 2.448930288519728, 1.4426611998620058, 2.978427638865371, 3.3942649398269995, -2.398378904011442, -3.633531135322106, 18.37787619066366, -9.897108913825088, -7.745748026576319, 10.692338987726684, -8.21442032869558, -8.439284641354954, 3.8008040963069503], [-4.617889893340585, -3.8648991200132383, 0.829369971420938, -0.10663113852100525, -0.2815071188461153, 1.2621795094355992, -2.961971165157673, -4.112214400387359, 5.1689078786141005, 9.803981548145611, -6.7700044555132015, -4.685333331302974, -5.397567115259606, 7.373439532692847], [-13.777926779924941, 9.773810471954045, 1.4351766745126713, 0.9761544315577895, -0.2311569031588806, -1.9808332378134388, 1.556220521501993, -7.57095538971552, -11.012639565086365, -9.80476267394117, -6.091880212947353, 17.09899334108607, 8.048210866244045, 1.55503796271688], [-7.071400893008908, -0.6519643102535182, 0.8712373463352445, -1.1898725102567056, -1.4533493477230426, 0.20252710819169073, 3.182690865507439, -6.2596157353877, 5.450766075740584, 4.993249573928135, 2.607862762604697, -7.024150768476343, -7.256828362053834, 6.416001458551232], [-5.469743749526189, 1.472601879260299, -3.181236383144744, 0.03349401792369449, 0.8252017433705225, -0.828188972110514, -1.7002252833263, -5.469375079822437, 6.821079228561465, 3.5541212437467196, -5.6792414564029245, -5.802364732674066, 3.7488460470466065, 3.3566125916784024]]",40,0.8631578947368421,0,12,0.8490566037735849,0,9,0.8238993710691824,0,0
0,1,sl,0,0,-,-,-,506.2969129085541,"[[-7.425098619009978, 2.448930288519728, 1.4426611998620058, 2.978427638865371, 3.3942649398269995, -2.398378904011442, -3.633531135322106, 18.37787619066366, -9.897108913825088, -7.745748026576319, 10.692338987726684, -8.21442032869558, -8.439284641354954, 3.8008040963069503], [-4.617889893340585, -3.8648991200132383, 0.829369971420938, -0.10663113852100525, -0.2815071188461153, 1.2621795094355992, -2.961971165157673, -4.112214400387359, 5.1689078786141005, 9.803981548145611, -6.7700044555132015, -4.685333331302974, -5.397567115259606, 7.373439532692847], [-13.777926779924941, 9.773810471954045, 1.4351766745126713, 0.9761544315577895, -0.2311569031588806, -1.9808332378134388, 1.556220521501993, -7.57095538971552, -11.012639565086365, -9.80476267394117, -6.091880212947353, 17.09899334108607, 8.048210866244045, 1.55503796271688], [-7.071400893008908, -0.6519643102535182, 0.8712373463352445, -1.1898725102567056, -1.4533493477230426, 0.20252710819169073, 3.182690865507439, -6.2596157353877, 5.450766075740584, 4.993249573928135, 2.607862762604697, -7.024150768476343, -7.256828362053834, 6.416001458551232], [-5.469743749526189, 1.472601879260299, -3.181236383144744, 0.03349401792369449, 0.8252017433705225, -0.828188972110514, -1.7002252833263, -5.469375079822437, 6.821079228561465, 3.5541212437467196, -5.6792414564029245, -5.802364732674066, 3.7488460470466065, 3.3566125916784024]]",40,0.8547368421052631,9,12,0.8364779874213837,3,9,0.7987421383647799,4,10
