group,duration,BPM,Danceability,Energy,Music Style
André Rieu,189.537,83,1,3,Classical
André Rieu,195.117,112,1,4,Classical
André Rieu,187.344,82,1,3,Classical
André Rieu,111.094,160,5,5,Classical
André Rieu,336.745,67,5,4,Classical
André Rieu,217.856,63,5,4,Classical
André Rieu,298.928,67,5,4,Classical
André Rieu,371.229,57,5,4,Classical
André Rieu,197.015,109,4,4,Classical
André Rieu,152.879,194,5,5,Classical
André Rieu,161.15,66,5,5,Classical
André Rieu,217.514,52,4,3,Classical
André Rieu,271.671,69,5,5,Classical
André Rieu,203.357,197,5,4,Classical
André Rieu,159.067,111,5,6,Classical
André Rieu,139.281,187,3,4,Classical
André Rieu,137.418,142,1,5,Classical
André Rieu,440.409,66,5,4,Classical
André Rieu,416.342,61,5,4,Classical
André Rieu,343.706,66,5,4,Classical
André Rieu,239.548,113,5,4,Classical
André Rieu,404.11,63,5,4,Classical
André Rieu,121.455,146,4,6,Classical
André Rieu,153.02,175,5,5,Classical
André Rieu,63.066,107,5,4,Classical
André Rieu,463.628,55,5,4,Classical
André Rieu,456.214,205,1,4,Classical
André Rieu,190.094,58,5,4,Classical
André Rieu,109.464,134,1,4,Classical
André Rieu,245.827,108,5,5,Classical
The Beatles,135.749,116,3,4,Classical
André Rieu,211.363,57,5,4,Classical
André Rieu,204.296,130,4,4,Classical
André Rieu,472.261,50,5,4,Classical
André Rieu,169.154,77,3,5,Classical
André Rieu,147.164,126,4,5,Classical
André Rieu,141.448,73,5,5,Classical
André Rieu,224.219,62,5,4,Classical
André Rieu,172.453,109,4,5,Classical
André Rieu,120.936,122,5,4,Classical
André Rieu,200.895,59,4,4,Classical
André Rieu,192.841,120,4,5,Classical
André Rieu,312.784,72,4,4,Classical
André Rieu,130.791,139,5,4,Classical
André Rieu,227.589,127,1,4,Classical
André Rieu,181.275,43,3,5,Classical
André Rieu,141.012,140,4,4,Classical
André Rieu,258.093,109,4,4,Classical
André Rieu,191.952,54,5,3,Classical
André Rieu,164.085,111,4,3,Classical
André Rieu,137.417,55,5,5,Classical
André Rieu,181.944,131,4,5,Classical
André Rieu,204.761,62,5,4,Classical
André Rieu,199.443,57,4,4,Classical
André Rieu,211.11,65,3,5,Classical
André Rieu,373.342,74,5,5,Classical
André Rieu,231.725,116,3,4,Classical
André Rieu,214.555,86,1,5,Classical
André Rieu,143.306,159,3,5,Classical
André Rieu,232.718,70,5,4,Classical
André Rieu,225.717,66,5,4,Classical
André Rieu,170.201,69,1,5,Classical
André Rieu,273.194,63,5,4,Classical
André Rieu,490.796,61,5,4,Classical
André Rieu,373.164,66,5,4,Classical
André Rieu,114.511,160,1,3,Classical
André Rieu,266.251,94,3,3,Classical
André Rieu,203.567,95,1,4,Classical
André Rieu,162.105,95,3,4,Classical
André Rieu,93.485,76,4,4,Classical
André Rieu,127.4,197,4,5,Classical
André Rieu,187.759,154,4,3,Classical
André Rieu,200.639,177,4,3,Classical
André Rieu,322.706,107,4,3,Classical
André Rieu,446.133,125,4,3,Classical
André Rieu,201.266,123,3,4,Classical
André Rieu,183,170,5,4,Classical
André Rieu,352.266,49,5,4,Classical
André Rieu,168.189,95,5,4,Classical
André Rieu,241.083,57,5,4,Classical
André Rieu,152.902,140,3,4,Classical
André Rieu,201.038,107,4,4,Classical
André Rieu,158.257,135,1,5,Classical
André Rieu,259.176,140,1,4,Classical
André Rieu,169.241,139,1,5,Classical
André Rieu,191.459,54,5,4,Classical
Radiohead,283.995,75,1,5,Electronic
Radiohead,248.196,124,3,4,Electronic
Radiohead,309.093,137,3,5,Electronic
Radiohead,284.506,113,3,4,Electronic
Radiohead,251.303,88,3,5,Electronic
Radiohead,347.01,190,4,6,Electronic
Radiohead,210.551,136,4,4,Electronic
Radiohead,299.53,128,4,4,Electronic
Radiohead,300.688,75,1,4,Electronic
Radiohead,363.235,150,4,4,Electronic
Radiohead,317.681,124,4,4,Electronic
Radiohead,308.953,138,3,5,Electronic
Radiohead,301.556,75,1,6,Electronic
Radiohead,369.335,120,4,4,Electronic
Radiohead,462.191,133,5,6,Electronic
Radiohead,333.797,115,3,4,Electronic
Radiohead,283.726,89,1,4,Electronic
Radiohead,424.798,128,5,4,Electronic
Radiohead,319.431,133,4,4,Electronic
Radiohead,288.222,140,3,5,Electronic
Radiohead,287.344,135,3,5,Electronic
Radiohead,415.855,76,1,4,Electronic
Radiohead,354.807,99,3,4,Electronic
Tame Impala,253.608,120,4,4,Electronic
Radiohead,236.942,124,3,4,Electronic
Radiohead,246.872,194,1,5,Electronic
Radiohead,262.966,151,4,4,Electronic
Radiohead,364.472,151,4,4,Electronic
Radiohead,172.324,57,2,4,Electronic
Radiohead,280.985,69,1,4,Electronic
Radiohead,247.552,147,3,4,Electronic
Tame Impala,247.542,122,3,5,Electronic
Metallica,381.776,69,3,6,Metal
Metallica,346.266,95,3,6,Metal
Metallica,459.133,130,2,6,Metal
Metallica,421.466,139,3,7,Metal
Metallica,269.973,125,3,7,Metal
Metallica,397.197,65,3,7,Metal
Metallica,327.68,123,3,6,Metal
Metallica,321.591,90,3,6,Metal
Kyuss,349.048,94,3,6,Metal
Kyuss,93.973,175,3,6,Metal
Kyuss,163.56,203,3,7,Metal
Kyuss,319.578,86,3,7,Metal
Kyuss,176.133,92,3,5,Metal
Kyuss,116.133,120,3,7,Metal
Kyuss,332.723,154,3,6,Metal
Kyuss,1038.289,91,3,7,Metal
Kyuss,242,91,3,6,Metal
Kyuss,216.146,180,3,7,Metal
Kyuss,162,186,3,7,Metal
Kyuss,275.146,63,3,6,Metal
Kyuss,374.196,89,3,7,Metal
Kyuss,1088.88,172,3,6,Metal
Kyuss,209.752,97,3,6,Metal
Kyuss,226.559,58,3,7,Metal
Kyuss,158.462,140,3,7,Metal
Kyuss,167.226,86,3,7,Metal
Kyuss,227.133,96,3,6,Metal
Kyuss,282.6,122,3,7,Metal
Kyuss,218.816,86,3,6,Metal
Metallica,523.985,211,3,7,Metal
Metallica,467.429,158,3,7,Metal
Metallica,391.276,87,3,6,Metal
Metallica,213,198,3,7,Metal
Metallica,340.849,202,3,7,Metal
Metallica,188,175,3,7,Metal
Metallica,220.306,167,3,7,Metal
Metallica,144.731,179,3,7,Metal
Metallica,323.619,255,3,7,Metal
